,confirmed 0-9,confirmed 10-19,confirmed 20-29,confirmed 30-39,confirmed 40-49,confirmed 50-59,confirmed 60-69,confirmed 70-79,confirmed 80-89,confirmed 90+,confirmed <50,confirmed Unknown
14-03-2020,5.0,3.0,40.0,70.0,87.0,126.0,113.0,140.0,88.0,21.0,1.0,0.0
15-03-2020,1.0,6.0,60.0,62.0,80.0,139.0,157.0,137.0,95.0,20.0,1.0,0.0
16-03-2020,2.0,4.0,64.0,89.0,96.0,200.0,188.0,246.0,129.0,37.0,1.0,0.0
17-03-2020,1.0,2.0,50.0,65.0,94.0,139.0,139.0,176.0,125.0,33.0,1.0,0.0
18-03-2020,0.0,5.0,39.0,61.0,99.0,175.0,140.0,167.0,147.0,30.0,0.0,0.0
19-03-2020,2.0,5.0,45.0,65.0,88.0,147.0,151.0,156.0,133.0,32.0,1.0,0.0
20-03-2020,1.0,5.0,64.0,81.0,98.0,188.0,166.0,201.0,143.0,50.0,2.0,1.0
21-03-2020,2.0,5.0,49.0,73.0,80.0,163.0,139.0,158.0,167.0,37.0,0.0,0.0
22-03-2020,0.0,3.0,50.0,48.0,85.0,149.0,87.0,153.0,130.0,43.0,1.0,0.0
23-03-2020,4.0,3.0,79.0,72.0,117.0,219.0,172.0,230.0,233.0,67.0,3.0,0.0
24-03-2020,5.0,6.0,53.0,79.0,106.0,153.0,153.0,166.0,183.0,59.0,2.0,0.0
25-03-2020,5.0,7.0,70.0,82.0,110.0,163.0,136.0,187.0,213.0,56.0,0.0,0.0
26-03-2020,2.0,4.0,56.0,86.0,85.0,142.0,153.0,167.0,172.0,77.0,2.0,0.0
27-03-2020,2.0,9.0,86.0,90.0,119.0,182.0,125.0,158.0,207.0,84.0,0.0,0.0
28-03-2020,3.0,12.0,86.0,66.0,95.0,162.0,111.0,117.0,142.0,63.0,2.0,0.0
29-03-2020,2.0,3.0,71.0,71.0,83.0,149.0,116.0,118.0,131.0,56.0,1.0,0.0
30-03-2020,1.0,19.0,93.0,93.0,129.0,214.0,159.0,145.0,187.0,82.0,1.0,0.0
31-03-2020,4.0,9.0,75.0,62.0,105.0,173.0,104.0,101.0,148.0,71.0,1.0,0.0
01-04-2020,0.0,17.0,107.0,106.0,128.0,207.0,138.0,144.0,200.0,69.0,1.0,0.0
02-04-2020,0.0,7.0,104.0,79.0,131.0,213.0,106.0,140.0,177.0,67.0,3.0,0.0
03-04-2020,2.0,11.0,122.0,88.0,144.0,187.0,112.0,105.0,186.0,94.0,2.0,0.0
04-04-2020,4.0,14.0,102.0,93.0,116.0,203.0,106.0,107.0,165.0,86.0,1.0,1.0
05-04-2020,2.0,14.0,88.0,67.0,91.0,151.0,95.0,89.0,140.0,49.0,0.0,0.0
06-04-2020,1.0,14.0,111.0,116.0,149.0,215.0,131.0,134.0,186.0,92.0,1.0,0.0
07-04-2020,1.0,8.0,110.0,99.0,110.0,185.0,111.0,116.0,185.0,73.0,1.0,0.0
08-04-2020,4.0,8.0,109.0,97.0,114.0,190.0,102.0,128.0,187.0,96.0,1.0,0.0
09-04-2020,1.0,10.0,88.0,89.0,98.0,175.0,98.0,100.0,162.0,78.0,0.0,1.0
10-04-2020,1.0,17.0,105.0,87.0,118.0,183.0,108.0,106.0,186.0,83.0,3.0,0.0
11-04-2020,1.0,10.0,95.0,104.0,85.0,195.0,108.0,72.0,101.0,61.0,1.0,0.0
12-04-2020,2.0,12.0,76.0,65.0,86.0,134.0,94.0,75.0,127.0,65.0,2.0,0.0
13-04-2020,1.0,11.0,115.0,90.0,88.0,155.0,76.0,57.0,119.0,62.0,0.0,0.0
14-04-2020,1.0,13.0,81.0,56.0,82.0,128.0,79.0,73.0,158.0,82.0,2.0,0.0
15-04-2020,2.0,11.0,82.0,73.0,74.0,151.0,69.0,62.0,160.0,62.0,1.0,0.0
16-04-2020,1.0,8.0,80.0,50.0,86.0,117.0,73.0,77.0,140.0,71.0,0.0,0.0
17-04-2020,2.0,17.0,90.0,54.0,82.0,137.0,71.0,54.0,112.0,79.0,0.0,0.0
18-04-2020,0.0,12.0,85.0,49.0,75.0,120.0,60.0,55.0,99.0,51.0,0.0,0.0
19-04-2020,1.0,13.0,57.0,40.0,62.0,65.0,56.0,36.0,85.0,41.0,0.0,0.0
20-04-2020,0.0,9.0,69.0,58.0,75.0,122.0,69.0,65.0,124.0,57.0,1.0,0.0
21-04-2020,0.0,7.0,51.0,51.0,57.0,67.0,39.0,35.0,106.0,57.0,0.0,0.0
22-04-2020,2.0,7.0,44.0,42.0,50.0,75.0,42.0,51.0,93.0,58.0,0.0,0.0
23-04-2020,0.0,6.0,56.0,28.0,50.0,68.0,37.0,38.0,86.0,40.0,0.0,0.0
24-04-2020,1.0,8.0,46.0,41.0,47.0,64.0,34.0,34.0,87.0,39.0,0.0,0.0
25-04-2020,1.0,5.0,52.0,23.0,36.0,56.0,41.0,38.0,67.0,40.0,2.0,0.0
26-04-2020,0.0,6.0,36.0,34.0,41.0,50.0,31.0,28.0,43.0,23.0,0.0,0.0
27-04-2020,0.0,4.0,44.0,30.0,46.0,58.0,43.0,28.0,48.0,26.0,0.0,0.0
28-04-2020,1.0,12.0,41.0,31.0,41.0,50.0,35.0,31.0,64.0,27.0,0.0,0.0
29-04-2020,1.0,5.0,25.0,23.0,39.0,47.0,36.0,38.0,66.0,33.0,1.0,0.0
30-04-2020,1.0,6.0,29.0,17.0,39.0,42.0,24.0,22.0,70.0,24.0,0.0,0.0
01-05-2020,0.0,2.0,38.0,44.0,42.0,58.0,29.0,28.0,67.0,27.0,0.0,0.0
02-05-2020,0.0,6.0,36.0,17.0,22.0,38.0,26.0,22.0,50.0,20.0,0.0,0.0
03-05-2020,0.0,4.0,26.0,22.0,19.0,44.0,20.0,19.0,33.0,22.0,0.0,0.0
04-05-2020,3.0,8.0,26.0,26.0,24.0,56.0,27.0,26.0,46.0,24.0,1.0,0.0
05-05-2020,3.0,6.0,16.0,18.0,24.0,44.0,20.0,19.0,45.0,8.0,0.0,0.0
06-05-2020,0.0,6.0,22.0,26.0,22.0,32.0,21.0,23.0,36.0,28.0,0.0,0.0
07-05-2020,2.0,2.0,32.0,17.0,24.0,29.0,21.0,21.0,35.0,27.0,0.0,0.0
08-05-2020,3.0,5.0,21.0,25.0,18.0,29.0,22.0,21.0,34.0,22.0,0.0,0.0
09-05-2020,0.0,3.0,33.0,21.0,20.0,36.0,19.0,18.0,34.0,10.0,0.0,0.0
10-05-2020,3.0,5.0,28.0,17.0,17.0,21.0,12.0,14.0,27.0,8.0,0.0,0.0
11-05-2020,1.0,7.0,26.0,20.0,22.0,44.0,26.0,23.0,40.0,21.0,0.0,0.0
12-05-2020,0.0,5.0,18.0,13.0,19.0,30.0,20.0,19.0,46.0,14.0,0.0,0.0
13-05-2020,3.0,11.0,18.0,20.0,19.0,26.0,19.0,10.0,36.0,14.0,0.0,0.0
14-05-2020,3.0,3.0,20.0,12.0,17.0,25.0,21.0,10.0,23.0,11.0,0.0,0.0
15-05-2020,2.0,4.0,19.0,22.0,26.0,25.0,15.0,15.0,26.0,15.0,0.0,0.0
16-05-2020,3.0,6.0,23.0,15.0,15.0,29.0,19.0,7.0,11.0,9.0,0.0,0.0
17-05-2020,1.0,4.0,26.0,17.0,14.0,33.0,21.0,15.0,22.0,8.0,0.0,0.0
18-05-2020,2.0,5.0,35.0,22.0,24.0,41.0,14.0,11.0,23.0,11.0,0.0,0.0
19-05-2020,4.0,7.0,46.0,28.0,20.0,35.0,12.0,13.0,20.0,11.0,0.0,0.0
20-05-2020,2.0,9.0,32.0,26.0,19.0,27.0,18.0,15.0,16.0,16.0,0.0,0.0
21-05-2020,2.0,13.0,35.0,31.0,20.0,31.0,25.0,18.0,16.0,8.0,0.0,0.0
22-05-2020,4.0,7.0,32.0,38.0,27.0,34.0,21.0,14.0,14.0,11.0,0.0,0.0
23-05-2020,6.0,5.0,37.0,29.0,41.0,22.0,17.0,10.0,13.0,3.0,0.0,0.0
24-05-2020,0.0,5.0,24.0,19.0,16.0,26.0,14.0,8.0,5.0,3.0,0.0,0.0
25-05-2020,3.0,12.0,31.0,25.0,34.0,34.0,18.0,12.0,15.0,12.0,0.0,0.0
26-05-2020,2.0,9.0,33.0,23.0,14.0,22.0,15.0,9.0,10.0,6.0,1.0,0.0
27-05-2020,3.0,17.0,29.0,30.0,23.0,25.0,13.0,7.0,11.0,5.0,1.0,0.0
28-05-2020,5.0,11.0,29.0,26.0,25.0,17.0,8.0,11.0,4.0,7.0,0.0,1.0
29-05-2020,4.0,9.0,25.0,24.0,27.0,27.0,11.0,4.0,4.0,6.0,0.0,0.0
30-05-2020,4.0,9.0,29.0,19.0,34.0,22.0,13.0,19.0,15.0,3.0,0.0,0.0
31-05-2020,2.0,6.0,19.0,22.0,24.0,23.0,11.0,7.0,7.0,3.0,0.0,0.0
01-06-2020,1.0,17.0,34.0,27.0,30.0,22.0,16.0,5.0,9.0,3.0,0.0,0.0
02-06-2020,3.0,13.0,20.0,23.0,24.0,28.0,11.0,5.0,8.0,4.0,0.0,0.0
03-06-2020,1.0,12.0,24.0,29.0,19.0,35.0,16.0,3.0,6.0,4.0,0.0,0.0
04-06-2020,6.0,6.0,28.0,23.0,19.0,22.0,16.0,13.0,13.0,6.0,0.0,0.0
05-06-2020,4.0,13.0,32.0,26.0,29.0,25.0,18.0,8.0,11.0,4.0,0.0,0.0
06-06-2020,8.0,12.0,23.0,22.0,28.0,27.0,15.0,4.0,15.0,5.0,0.0,0.0
07-06-2020,2.0,5.0,23.0,15.0,18.0,23.0,8.0,5.0,2.0,1.0,0.0,0.0
08-06-2020,5.0,10.0,38.0,24.0,26.0,17.0,15.0,2.0,6.0,2.0,0.0,0.0
09-06-2020,5.0,11.0,27.0,27.0,20.0,14.0,8.0,9.0,10.0,4.0,0.0,0.0
10-06-2020,10.0,10.0,32.0,30.0,20.0,31.0,14.0,8.0,3.0,1.0,0.0,0.0
11-06-2020,4.0,19.0,23.0,21.0,19.0,24.0,16.0,4.0,3.0,2.0,0.0,0.0
12-06-2020,4.0,12.0,15.0,29.0,25.0,29.0,10.0,9.0,5.0,0.0,0.0,0.0
13-06-2020,4.0,9.0,27.0,17.0,17.0,20.0,7.0,3.0,5.0,2.0,0.0,0.0
14-06-2020,3.0,14.0,24.0,21.0,9.0,15.0,9.0,0.0,7.0,2.0,0.0,0.0
15-06-2020,4.0,9.0,23.0,23.0,28.0,19.0,5.0,2.0,4.0,0.0,0.0,0.0
16-06-2020,4.0,2.0,20.0,11.0,14.0,16.0,5.0,2.0,6.0,2.0,0.0,0.0
17-06-2020,4.0,6.0,22.0,19.0,11.0,17.0,9.0,2.0,4.0,0.0,0.0,0.0
18-06-2020,3.0,12.0,12.0,13.0,11.0,6.0,6.0,1.0,2.0,2.0,0.0,0.0
19-06-2020,3.0,6.0,12.0,15.0,16.0,7.0,6.0,4.0,4.0,1.0,0.0,0.0
20-06-2020,3.0,11.0,14.0,21.0,13.0,8.0,4.0,0.0,1.0,2.0,0.0,0.0
21-06-2020,3.0,4.0,9.0,15.0,14.0,5.0,3.0,3.0,1.0,0.0,0.0,0.0
22-06-2020,2.0,7.0,17.0,16.0,9.0,11.0,7.0,6.0,5.0,1.0,0.0,0.0
23-06-2020,3.0,5.0,13.0,13.0,20.0,3.0,7.0,0.0,1.0,5.0,0.0,0.0
24-06-2020,3.0,6.0,11.0,25.0,13.0,17.0,7.0,1.0,5.0,4.0,0.0,0.0
25-06-2020,2.0,7.0,16.0,17.0,12.0,15.0,1.0,1.0,3.0,0.0,0.0,0.0
26-06-2020,2.0,5.0,13.0,9.0,11.0,10.0,3.0,4.0,3.0,0.0,0.0,0.0
27-06-2020,2.0,6.0,18.0,16.0,14.0,11.0,4.0,2.0,2.0,1.0,0.0,0.0
28-06-2020,0.0,7.0,16.0,13.0,8.0,10.0,4.0,1.0,0.0,0.0,0.0,0.0
29-06-2020,4.0,8.0,13.0,9.0,12.0,12.0,6.0,5.0,4.0,2.0,0.0,0.0
30-06-2020,0.0,6.0,18.0,11.0,10.0,9.0,5.0,2.0,1.0,0.0,0.0,0.0
01-07-2020,1.0,13.0,21.0,9.0,10.0,9.0,4.0,4.0,1.0,1.0,0.0,0.0
02-07-2020,1.0,7.0,14.0,13.0,5.0,12.0,5.0,1.0,3.0,0.0,0.0,0.0
03-07-2020,1.0,5.0,18.0,9.0,5.0,7.0,5.0,0.0,1.0,1.0,0.0,0.0
04-07-2020,2.0,4.0,9.0,5.0,11.0,9.0,7.0,1.0,2.0,0.0,0.0,0.0
05-07-2020,0.0,9.0,9.0,6.0,9.0,11.0,8.0,2.0,0.0,0.0,0.0,0.0
06-07-2020,3.0,9.0,25.0,13.0,19.0,16.0,2.0,6.0,1.0,0.0,0.0,0.0
07-07-2020,0.0,12.0,22.0,10.0,13.0,16.0,5.0,4.0,0.0,0.0,0.0,0.0
08-07-2020,1.0,13.0,24.0,23.0,15.0,13.0,5.0,5.0,1.0,0.0,0.0,0.0
09-07-2020,4.0,13.0,18.0,16.0,26.0,15.0,2.0,3.0,1.0,0.0,0.0,0.0
10-07-2020,2.0,16.0,19.0,25.0,21.0,20.0,8.0,3.0,0.0,0.0,0.0,0.0
11-07-2020,1.0,17.0,25.0,24.0,18.0,17.0,14.0,10.0,1.0,1.0,0.0,0.0
12-07-2020,2.0,13.0,20.0,20.0,22.0,22.0,12.0,4.0,3.0,0.0,0.0,0.0
13-07-2020,3.0,21.0,34.0,30.0,29.0,27.0,17.0,6.0,4.0,1.0,0.0,0.0
14-07-2020,3.0,15.0,41.0,34.0,29.0,21.0,14.0,8.0,2.0,1.0,0.0,0.0
15-07-2020,2.0,21.0,61.0,41.0,33.0,23.0,20.0,8.0,3.0,0.0,0.0,0.0
16-07-2020,2.0,18.0,35.0,21.0,17.0,24.0,14.0,8.0,3.0,1.0,0.0,0.0
17-07-2020,1.0,28.0,24.0,34.0,28.0,37.0,16.0,11.0,8.0,1.0,0.0,0.0
18-07-2020,2.0,20.0,35.0,30.0,23.0,29.0,19.0,8.0,1.0,2.0,0.0,0.0
19-07-2020,2.0,17.0,46.0,33.0,26.0,29.0,18.0,7.0,5.0,0.0,0.0,0.0
20-07-2020,2.0,22.0,57.0,44.0,38.0,45.0,26.0,5.0,4.0,0.0,0.0,0.0
21-07-2020,1.0,15.0,68.0,45.0,30.0,36.0,18.0,6.0,3.0,1.0,0.0,0.0
22-07-2020,5.0,33.0,78.0,48.0,49.0,42.0,18.0,11.0,0.0,0.0,0.0,0.0
23-07-2020,2.0,17.0,52.0,44.0,38.0,24.0,19.0,10.0,5.0,4.0,0.0,0.0
24-07-2020,1.0,28.0,61.0,43.0,30.0,41.0,24.0,6.0,2.0,1.0,0.0,0.0
25-07-2020,3.0,27.0,87.0,49.0,42.0,54.0,31.0,16.0,9.0,3.0,0.0,0.0
26-07-2020,2.0,36.0,80.0,47.0,39.0,48.0,23.0,8.0,6.0,1.0,0.0,0.0
27-07-2020,6.0,49.0,132.0,83.0,60.0,66.0,36.0,13.0,8.0,0.0,0.0,0.0
28-07-2020,4.0,40.0,99.0,73.0,56.0,58.0,39.0,14.0,6.0,2.0,0.0,0.0
29-07-2020,4.0,42.0,125.0,87.0,57.0,64.0,27.0,20.0,11.0,1.0,0.0,0.0
30-07-2020,2.0,38.0,132.0,63.0,66.0,62.0,28.0,14.0,5.0,3.0,0.0,0.0
31-07-2020,5.0,37.0,140.0,71.0,78.0,73.0,37.0,17.0,13.0,1.0,0.0,0.0
01-08-2020,11.0,49.0,144.0,88.0,62.0,83.0,35.0,11.0,11.0,2.0,0.0,0.0
02-08-2020,4.0,48.0,151.0,96.0,70.0,76.0,31.0,19.0,8.0,1.0,0.0,0.0
03-08-2020,13.0,75.0,203.0,143.0,76.0,78.0,38.0,22.0,7.0,4.0,0.0,0.0
04-08-2020,8.0,55.0,193.0,108.0,85.0,63.0,53.0,11.0,3.0,6.0,0.0,0.0
05-08-2020,2.0,71.0,204.0,112.0,83.0,82.0,40.0,12.0,8.0,2.0,0.0,0.0
06-08-2020,8.0,58.0,194.0,75.0,77.0,90.0,37.0,25.0,10.0,5.0,0.0,0.0
07-08-2020,7.0,65.0,179.0,108.0,91.0,98.0,32.0,20.0,12.0,4.0,0.0,0.0
08-08-2020,6.0,57.0,165.0,89.0,72.0,81.0,40.0,15.0,5.0,2.0,0.0,0.0
09-08-2020,6.0,72.0,163.0,71.0,65.0,73.0,29.0,15.0,14.0,4.0,0.0,0.0
10-08-2020,4.0,58.0,198.0,101.0,79.0,78.0,49.0,18.0,15.0,2.0,0.0,0.0
11-08-2020,9.0,56.0,197.0,97.0,61.0,81.0,38.0,19.0,8.0,7.0,0.0,0.0
12-08-2020,6.0,81.0,186.0,113.0,75.0,73.0,31.0,14.0,8.0,5.0,0.0,0.0
13-08-2020,6.0,70.0,162.0,103.0,66.0,69.0,37.0,19.0,16.0,4.0,0.0,0.0
14-08-2020,5.0,69.0,181.0,80.0,46.0,80.0,32.0,23.0,6.0,2.0,0.0,0.0
15-08-2020,4.0,68.0,160.0,82.0,71.0,66.0,26.0,11.0,16.0,3.0,0.0,0.0
16-08-2020,3.0,44.0,131.0,87.0,51.0,74.0,25.0,18.0,3.0,1.0,0.0,0.0
17-08-2020,3.0,61.0,159.0,70.0,61.0,77.0,48.0,14.0,10.0,3.0,0.0,0.0
18-08-2020,6.0,68.0,152.0,102.0,60.0,69.0,23.0,7.0,11.0,6.0,0.0,0.0
19-08-2020,5.0,63.0,178.0,92.0,56.0,47.0,40.0,10.0,7.0,1.0,0.0,0.0
20-08-2020,4.0,51.0,156.0,77.0,67.0,73.0,27.0,11.0,7.0,0.0,0.0,0.0
21-08-2020,5.0,61.0,141.0,80.0,67.0,61.0,26.0,10.0,8.0,5.0,0.0,0.0
22-08-2020,3.0,69.0,183.0,89.0,70.0,61.0,24.0,21.0,3.0,1.0,0.0,0.0
23-08-2020,9.0,60.0,168.0,91.0,57.0,57.0,40.0,12.0,6.0,3.0,0.0,1.0
24-08-2020,3.0,65.0,183.0,102.0,79.0,69.0,33.0,12.0,9.0,0.0,0.0,0.0
25-08-2020,10.0,78.0,205.0,99.0,56.0,74.0,43.0,16.0,6.0,2.0,0.0,0.0
26-08-2020,1.0,73.0,214.0,104.0,70.0,72.0,45.0,14.0,9.0,11.0,0.0,0.0
27-08-2020,5.0,72.0,186.0,97.0,50.0,82.0,30.0,13.0,11.0,2.0,0.0,0.0
28-08-2020,7.0,67.0,192.0,102.0,73.0,64.0,32.0,17.0,8.0,3.0,0.0,1.0
29-08-2020,9.0,80.0,200.0,90.0,58.0,89.0,38.0,13.0,11.0,2.0,0.0,0.0
30-08-2020,6.0,91.0,217.0,89.0,67.0,81.0,37.0,8.0,8.0,2.0,0.0,0.0
31-08-2020,9.0,112.0,332.0,141.0,116.0,120.0,41.0,14.0,20.0,1.0,0.0,0.0
01-09-2020,11.0,121.0,334.0,168.0,120.0,102.0,75.0,27.0,14.0,4.0,0.0,0.0
02-09-2020,14.0,137.0,301.0,160.0,111.0,109.0,65.0,31.0,14.0,3.0,0.0,0.0
03-09-2020,15.0,145.0,267.0,137.0,155.0,142.0,54.0,32.0,21.0,2.0,0.0,0.0
04-09-2020,12.0,127.0,325.0,192.0,171.0,159.0,81.0,41.0,11.0,5.0,0.0,0.0
05-09-2020,20.0,169.0,338.0,193.0,173.0,147.0,74.0,38.0,23.0,10.0,0.0,0.0
06-09-2020,14.0,165.0,378.0,211.0,156.0,169.0,94.0,31.0,15.0,4.0,0.0,0.0
07-09-2020,16.0,240.0,455.0,230.0,205.0,198.0,90.0,43.0,19.0,9.0,0.0,0.0
08-09-2020,11.0,223.0,494.0,273.0,211.0,208.0,113.0,50.0,18.0,8.0,0.0,0.0
09-09-2020,13.0,210.0,470.0,234.0,214.0,217.0,122.0,43.0,22.0,9.0,0.0,0.0
10-09-2020,13.0,200.0,411.0,234.0,178.0,219.0,111.0,51.0,41.0,10.0,2.0,0.0
11-09-2020,21.0,241.0,481.0,241.0,279.0,279.0,115.0,50.0,31.0,12.0,0.0,1.0
12-09-2020,17.0,247.0,434.0,263.0,247.0,262.0,129.0,51.0,30.0,6.0,0.0,0.0
13-09-2020,17.0,254.0,465.0,287.0,239.0,252.0,106.0,56.0,31.0,14.0,0.0,0.0
14-09-2020,20.0,341.0,653.0,363.0,307.0,336.0,169.0,79.0,48.0,17.0,0.0,0.0
15-09-2020,16.0,322.0,656.0,347.0,339.0,321.0,158.0,80.0,60.0,20.0,0.0,0.0
16-09-2020,14.0,341.0,669.0,315.0,343.0,342.0,164.0,88.0,39.0,24.0,0.0,0.0
17-09-2020,15.0,378.0,618.0,367.0,343.0,342.0,160.0,91.0,52.0,14.0,0.0,0.0
18-09-2020,13.0,321.0,626.0,367.0,318.0,345.0,176.0,79.0,46.0,9.0,0.0,0.0
19-09-2020,16.0,316.0,601.0,375.0,317.0,372.0,182.0,81.0,59.0,12.0,1.0,0.0
20-09-2020,8.0,363.0,707.0,395.0,364.0,317.0,180.0,93.0,48.0,16.0,0.0,0.0
21-09-2020,9.0,446.0,846.0,478.0,401.0,456.0,237.0,96.0,45.0,14.0,0.0,0.0
22-09-2020,14.0,369.0,822.0,441.0,413.0,428.0,172.0,93.0,63.0,21.0,0.0,0.0
23-09-2020,10.0,364.0,782.0,405.0,436.0,427.0,225.0,91.0,59.0,17.0,0.0,0.0
24-09-2020,8.0,357.0,655.0,368.0,402.0,390.0,211.0,107.0,58.0,17.0,0.0,0.0
25-09-2020,16.0,329.0,664.0,406.0,415.0,474.0,213.0,119.0,52.0,16.0,0.0,0.0
26-09-2020,11.0,283.0,596.0,381.0,363.0,417.0,198.0,84.0,50.0,18.0,0.0,0.0
27-09-2020,8.0,320.0,621.0,367.0,350.0,394.0,174.0,57.0,40.0,19.0,0.0,0.0
28-09-2020,8.0,293.0,559.0,323.0,309.0,340.0,160.0,87.0,62.0,18.0,0.0,0.0
29-09-2020,8.0,180.0,489.0,287.0,271.0,283.0,148.0,75.0,45.0,20.0,0.0,0.0
30-09-2020,6.0,129.0,374.0,244.0,233.0,241.0,148.0,73.0,53.0,24.0,0.0,0.0
01-10-2020,8.0,147.0,289.0,193.0,189.0,204.0,78.0,54.0,41.0,13.0,0.0,0.0
02-10-2020,11.0,129.0,288.0,188.0,191.0,232.0,104.0,55.0,55.0,13.0,0.0,1.0
03-10-2020,3.0,86.0,221.0,130.0,109.0,147.0,68.0,35.0,31.0,8.0,0.0,0.0
04-10-2020,0.0,12.0,23.0,16.0,15.0,19.0,7.0,4.0,2.0,0.0,0.0,0.0
