,confirmed 0-9,confirmed 10-19,confirmed 20-29,confirmed 30-39,confirmed 40-49,confirmed 50-59,confirmed 60-69,confirmed 70-79,confirmed 80-89,confirmed 90+,confirmed <50,confirmed Unknown
01-01-2020,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20-01-2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29-01-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
31-01-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
01-02-2020,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
03-02-2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
06-02-2020,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
07-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
10-02-2020,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
11-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12-02-2020,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14-02-2020,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
15-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
16-02-2020,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
17-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
18-02-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19-02-2020,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
20-02-2020,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0
21-02-2020,0.0,0.0,1.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0
22-02-2020,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
23-02-2020,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0
24-02-2020,0.0,1.0,2.0,2.0,1.0,8.0,4.0,3.0,1.0,0.0,0.0,0.0
25-02-2020,0.0,2.0,1.0,1.0,5.0,4.0,3.0,4.0,2.0,2.0,0.0,0.0
26-02-2020,0.0,0.0,4.0,3.0,6.0,8.0,3.0,9.0,0.0,1.0,0.0,0.0
27-02-2020,1.0,2.0,5.0,9.0,9.0,12.0,6.0,11.0,4.0,2.0,0.0,0.0
28-02-2020,0.0,4.0,4.0,1.0,10.0,23.0,4.0,9.0,8.0,0.0,0.0,0.0
29-02-2020,0.0,4.0,8.0,5.0,18.0,11.0,8.0,5.0,6.0,0.0,0.0,0.0
01-03-2020,1.0,8.0,7.0,6.0,31.0,33.0,16.0,18.0,13.0,1.0,0.0,0.0
02-03-2020,1.0,5.0,4.0,13.0,28.0,28.0,26.0,16.0,18.0,3.0,0.0,0.0
03-03-2020,0.0,4.0,17.0,10.0,20.0,30.0,19.0,13.0,8.0,5.0,0.0,0.0
04-03-2020,1.0,7.0,10.0,13.0,12.0,30.0,27.0,24.0,14.0,1.0,0.0,0.0
05-03-2020,0.0,4.0,7.0,7.0,25.0,45.0,34.0,24.0,17.0,3.0,0.0,0.0
06-03-2020,1.0,3.0,7.0,15.0,26.0,53.0,37.0,31.0,24.0,5.0,0.0,0.0
07-03-2020,0.0,3.0,17.0,22.0,38.0,43.0,40.0,48.0,24.0,3.0,1.0,0.0
08-03-2020,1.0,0.0,18.0,34.0,29.0,55.0,39.0,33.0,30.0,3.0,1.0,0.0
09-03-2020,2.0,5.0,29.0,52.0,53.0,82.0,77.0,87.0,49.0,9.0,0.0,0.0
10-03-2020,1.0,3.0,27.0,40.0,48.0,86.0,82.0,82.0,42.0,9.0,0.0,0.0
11-03-2020,2.0,2.0,40.0,46.0,57.0,92.0,103.0,106.0,67.0,12.0,0.0,0.0
12-03-2020,1.0,3.0,38.0,61.0,53.0,118.0,108.0,106.0,74.0,14.0,0.0,0.0
13-03-2020,1.0,2.0,47.0,68.0,79.0,127.0,127.0,122.0,86.0,16.0,0.0,0.0
