date,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
2020-03-28,15,9,49,60,96,206,223,329,344
2020-03-29,15,9,52,68,107,223,243,354,394
2020-03-30,15,12,55,69,121,250,269,388,427
2020-03-31,16,14,61,74,135,287,303,430,470
2020-04-01,17,17,63,79,147,315,327,474,512
2020-04-02,18,18,68,84,152,335,362,511,552
2020-04-03,18,19,69,88,160,350,408,584,697
2020-04-04,19,20,72,90,166,361,426,612,724
2020-04-05,19,21,76,93,170,369,447,635,743
2020-04-06,20,22,76,95,178,392,469,665,780
2020-04-07,20,23,76,96,181,403,475,678,794
2020-04-08,22,23,77,98,188,417,488,699,828
2020-04-09,23,23,86,100,195,431,506,726,864
2020-04-10,23,24,90,102,205,449,516,746,900
2020-04-11,24,24,94,108,206,456,526,760,917
2020-04-12,24,24,95,108,209,458,531,768,926
2020-04-13,24,25,95,110,209,459,537,771,938
2020-04-14,24,27,99,113,213,464,543,780,949
2020-04-15,24,27,101,114,220,469,552,798,976
2020-04-18,18,28,95,103,216,462,548,803,979
2020-04-19,18,28,96,103,216,464,551,803,987
2020-04-20,18,28,97,106,217,469,556,809,1000
2020-04-21,18,28,98,108,220,472,559,814,1018
2020-04-22,18,28,99,110,221,483,567,840,1033
2020-04-23,18,30,99,112,225,491,578,854,1049
2020-04-24,18,30,100,113,226,496,581,861,1059
2020-04-25,18,30,100,115,227,500,586,865,1066
2020-04-26,18,30,99,115,227,500,587,866,1078
2020-04-27,18,30,99,115,227,501,589,866,1082
2020-04-28,18,31,102,116,230,504,593,875,1098
2020-04-29,19,31,104,118,239,512,607,888,1111
2020-04-30,22,31,104,124,246,528,616,901,1127
2020-05-01,22,31,104,124,245,526,617,900,1131
2020-05-02,22,31,104,126,245,528,625,910,1136
2020-05-03,22,31,104,127,246,528,625,911,1139
2020-05-04,22,31,105,127,246,528,626,912,1139
2020-05-05,23,31,105,127,247,530,626,913,1139
2020-05-06,23,31,105,130,253,540,633,924,1153
2020-05-07,23,31,105,130,256,543,637,928,1154
2020-05-08,23,32,106,133,256,547,639,934,1161
2020-05-09,23,32,106,134,256,547,641,935,1162
2020-05-10,23,32,106,134,257,547,641,936,1165
2020-05-11,23,32,107,134,257,548,641,936,1166
2020-05-12,23,32,107,134,257,550,642,936,1167
2020-05-13,23,32,109,135,257,550,643,936,1172
2020-05-14,25,32,110,136,258,551,647,937,1180
2020-05-15,25,33,110,136,258,551,648,938,1183
2020-05-16,25,33,110,138,258,551,650,943,1184
2020-05-17,25,33,110,138,258,551,650,944,1185
2020-05-18,25,33,110,138,258,551,650,944,1185
2020-05-19,25,33,110,139,259,552,651,945,1187
2020-05-20,25,33,110,139,260,553,653,944,1189
2020-05-21,25,34,110,139,260,553,654,947,1191
2020-05-22,25,34,110,139,260,553,654,947,1191
2020-05-23,25,34,110,139,260,553,656,947,1193
2020-05-24,25,34,110,139,260,554,657,947,1194
2020-05-25,25,34,110,139,260,554,658,947,1194
2020-05-26,25,35,110,139,260,555,658,948,1195
2020-05-27,26,35,110,139,260,555,659,948,1196
2020-05-28,26,35,110,139,261,555,659,948,1197
2020-05-29,27,36,113,141,265,562,664,954,1201
2020-05-30,27,36,113,142,265,563,664,955,1201
2020-05-31,27,36,114,142,265,563,664,955,1201
2020-06-01,27,36,114,142,265,563,664,955,1201
2020-06-02,27,36,114,142,266,563,664,955,1202
2020-06-03,27,36,114,142,266,564,665,955,1202
2020-06-04,27,36,114,142,265,564,665,956,1204
2020-06-05,27,36,114,142,265,564,665,957,1205
2020-06-06,27,36,114,143,265,564,665,959,1206
2020-06-07,27,36,114,143,265,564,665,959,1206
2020-06-08,27,36,114,143,265,564,665,959,1206
2020-06-09,27,36,114,143,265,566,665,959,1206
2020-06-10,27,36,114,143,267,566,665,959,1206
2020-06-11,27,36,114,143,267,566,665,960,1207
2020-06-12,27,36,114,143,267,566,667,960,1207
2020-06-13,27,36,114,143,267,566,667,960,1207
2020-06-14,27,36,114,143,267,566,667,960,1207
2020-06-15,27,36,114,143,267,566,667,960,1207
2020-06-16,27,36,114,143,267,568,669,960,1208
2020-06-17,27,36,114,145,267,568,669,960,1209
2020-06-18,27,36,114,145,269,570,671,959,1211
2020-06-19,27,36,114,145,269,570,671,959,1213
2020-06-20,27,36,115,146,269,570,672,961,1213
2020-06-21,27,36,116,146,269,570,673,961,1213
2020-06-22,27,36,116,146,270,570,674,962,1214
2020-06-23,27,36,116,146,271,570,674,962,1214
2020-06-24,28,36,116,146,272,571,676,962,1216
2020-06-25,28,36,117,146,272,571,676,963,1216
2020-06-26,28,36,119,146,272,571,677,963,1216
2020-06-27,28,36,119,146,272,571,677,963,1217
2020-06-28,28,36,119,146,272,571,677,963,1217
2020-06-29,28,36,119,146,272,571,677,963,1217
