date,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
2020-06-30,28,36,119,146,272,571,678,963,1219
2020-07-01,28,36,119,147,272,573,680,964,1219
2020-07-02,28,36,122,148,272,573,681,965,1222
2020-07-03,28,36,125,148,272,574,681,965,1222
2020-07-04,28,36,126,148,273,574,681,965,1222
2020-07-05,28,36,126,148,273,574,681,965,1222
2020-07-06,28,36,126,148,274,574,681,965,1222
2020-07-07,28,36,126,148,274,574,683,966,1222
2020-07-08,28,36,127,148,275,576,685,966,1222
2020-07-09,28,36,127,148,275,577,689,970,1223
2020-07-10,28,36,128,148,275,579,691,971,1223
2020-07-11,28,36,128,148,275,579,692,971,1223
2020-07-12,29,36,128,149,275,579,693,972,1223
2020-07-13,29,36,128,149,276,579,694,972,1224
2020-07-14,29,36,128,149,276,580,695,974,1224
2020-07-15,29,36,128,149,276,580,699,977,1226
2020-07-16,29,36,129,149,278,584,699,977,1227
2020-07-17,29,36,129,150,278,584,700,979,1227
2020-07-18,29,36,129,150,278,585,702,979,1227
2020-07-19,29,36,129,150,278,586,703,981,1228
2020-07-20,29,36,130,150,278,586,703,982,1228
2020-07-21,29,36,130,151,279,586,706,982,1231
2020-07-22,29,37,130,152,279,588,709,986,1232
2020-07-23,29,37,130,152,280,588,711,989,1232
2020-07-24,29,37,130,154,281,588,715,991,1238
2020-07-25,29,37,130,154,283,589,721,992,1239
2020-07-26,29,37,130,154,283,589,724,993,1239
2020-07-27,29,38,130,154,283,590,725,993,1239
2020-07-28,29,41,134,164,291,603,753,1015,1256
2020-07-29,29,41,137,164,292,604,758,1018,1257
2020-07-30,29,41,137,164,294,605,761,1019,1258
2020-07-31,30,42,139,165,294,608,766,1023,1258
2020-08-01,30,42,140,165,295,612,769,1023,1261
2020-08-02,30,42,140,165,295,613,772,1025,1261
2020-08-03,30,42,140,165,295,613,772,1025,1261
2020-08-04,30,42,141,165,296,615,774,1025,1261
2020-08-05,30,42,141,165,297,615,774,1025,1261
2020-08-06,30,42,142,165,297,616,775,1027,1261
2020-08-07,30,42,142,166,298,620,776,1027,1262
2020-08-08,30,44,142,166,299,620,778,1028,1264
2020-08-09,30,44,142,167,299,622,779,1029,1264
2020-08-10,30,44,143,167,299,622,780,1029,1264
2020-08-11,30,45,144,167,299,626,783,1030,1265
2020-08-12,30,46,146,168,300,628,786,1032,1265
2020-08-13,30,46,146,168,302,628,786,1032,1265
2020-08-14,31,46,148,168,305,629,786,1032,1267
2020-08-15,31,46,150,168,306,629,791,1033,1267
2020-08-16,31,46,150,168,306,632,795,1035,1267
2020-08-17,31,46,150,168,307,632,795,1035,1267
2020-08-18,32,46,150,169,307,635,795,1036,1268
2020-08-19,32,46,153,172,311,639,797,1037,1270
2020-08-20,32,46,154,174,312,641,799,1037,1270
2020-08-21,32,47,154,175,316,642,802,1040,1270
2020-08-22,33,47,154,175,316,642,803,1040,1270
2020-08-23,33,47,154,175,317,642,806,1040,1273
2020-08-24,34,47,154,175,317,643,808,1041,1273
2020-08-25,34,47,155,176,318,647,811,1042,1273
2020-08-26,34,47,154,177,319,649,812,1043,1276
2020-08-27,34,47,154,177,319,649,815,1044,1276
2020-08-28,34,47,155,178,320,651,816,1047,1276
2020-08-29,34,47,156,179,320,651,816,1048,1279
2020-08-30,34,47,157,179,320,652,818,1048,1280
2020-08-31,34,47,157,179,322,653,818,1048,1280
2020-09-01,34,47,161,180,323,653,819,1049,1281
2020-09-02,34,49,162,180,324,653,821,1049,1284
2020-09-03,34,49,164,181,326,654,823,1051,1285
2020-09-04,34,49,166,182,328,655,824,1057,1286
2020-09-05,34,49,168,182,328,658,824,1058,1286
2020-09-06,34,49,168,182,329,658,827,1059,1286
2020-09-07,34,49,168,182,329,658,827,1060,1287
2020-09-08,34,49,169,183,329,658,828,1062,1288
2020-09-09,35,49,170,183,331,659,831,1066,1290
2020-09-10,35,49,170,183,332,659,833,1068,1293
2020-09-11,35,49,170,183,333,659,838,1071,1297
2020-09-12,35,49,170,183,335,661,843,1074,1297
2020-09-13,35,50,171,184,338,663,845,1076,1300
2020-09-14,35,50,171,184,339,663,847,1078,1303
2020-09-15,35,50,171,184,340,664,855,1082,1307
2020-09-16,35,50,172,185,341,668,858,1083,1314
2020-09-17,35,50,173,185,343,671,859,1084,1324
2020-09-18,35,51,174,186,345,674,859,1087,1328
2020-09-21,35,51,175,187,347,681,862,1095,1333
2020-09-22,37,51,175,188,349,681,869,1096,1334
2020-09-23,38,51,175,188,350,683,874,1101,1335
2020-09-24,38,52,175,189,351,684,877,1103,1337
2020-09-25,38,52,175,189,352,687,879,1105,1339
2020-09-28,38,52,177,189,353,690,885,1109,1349
2020-09-29,38,52,177,189,354,691,886,1112,1353
2020-09-30,38,52,178,189,355,696,889,1113,1353
2020-10-01,38,52,178,189,356,701,893,1119,1355
2020-10-02,38,52,178,190,357,701,893,1120,1358
2020-10-05,39,52,181,194,358,708,900,1126,1368
