date,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
2020-09-21,1,0,0,5,6,45,138,355,1219
2020-09-22,1,0,0,5,6,45,138,355,1222
2020-09-23,1,0,0,5,6,45,138,355,1222
2020-09-24,1,0,0,5,6,45,138,356,1224
2020-09-25,1,0,0,5,6,45,138,356,1226
2020-09-28,1,0,0,5,6,45,138,356,1228
2020-09-29,1,0,0,5,6,45,138,357,1229
2020-09-30,1,0,0,5,6,45,138,357,1230
2020-10-01,1,0,0,5,6,45,138,358,1230
2020-10-02,1,0,0,5,6,45,138,358,1230
2020-10-05,1,0,0,5,6,45,138,358,1233
2020-10-06,1,0,0,5,6,45,138,358,1233
