,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,Total known,Total unknown,Total
13.03.2020,,,,,,,,,,,,,
15.03.2020,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
17.03.2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
23.03.2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
24.03.2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
25.03.2020,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,3.0
28.03.2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
29.03.2020,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0
30.03.2020,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
31.03.2020,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,8.0,0.0,8.0
01.04.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.04.2020,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0
03.04.2020,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,6.0,0.0,6.0
04.04.2020,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,4.0
05.04.2020,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,7.0,0.0,7.0
06.04.2020,0.0,0.0,0.0,1.0,1.0,6.0,2.0,5.0,0.0,0.0,15.0,0.0,15.0
07.04.2020,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,5.0,0.0,5.0
08.04.2020,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,9.0,0.0,9.0
09.04.2020,0.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,14.0,0.0,14.0
10.04.2020,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,6.0,0.0,6.0
11.04.2020,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,7.0,0.0,7.0
12.04.2020,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,8.0,0.0,8.0
13.04.2020,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,5.0
14.04.2020,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,0.0,9.0,0.0,9.0
15.04.2020,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,8.0,0.0,8.0
16.04.2020,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,6.0,0.0,6.0
17.04.2020,0.0,0.0,0.0,2.0,2.0,0.0,5.0,3.0,4.0,0.0,16.0,0.0,16.0
18.04.2020,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,9.0,0.0,9.0
19.04.2020,0.0,0.0,0.0,1.0,0.0,6.0,2.0,6.0,4.0,0.0,19.0,0.0,19.0
20.04.2020,0.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,3.0,1.0,11.0,0.0,11.0
21.04.2020,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,0.0,10.0,0.0,10.0
