,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95+,Total known,Total unknown,Total
23.03.2020,,,,,,,,,,,,,,,,,,,,,,,
24.03.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,16.0,17.0,9.0,6.0,1.0,63.0,0.0,63.0
25.03.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,7.0,17.0,22.0,22.0,3.0,3.0,80.0,0.0,80.0
26.03.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,8.0,12.0,21.0,27.0,3.0,1.0,78.0,0.0,78.0
28.03.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,12.0,28.0,39.0,40.0,54.0,18.0,5.0,206.0,-1.0,205.0
29.03.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,6.0,16.0,32.0,33.0,27.0,6.0,5.0,132.0,0.0,132.0
30.03.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,6.0,7.0,17.0,31.0,15.0,7.0,3.0,93.0,0.0,93.0
31.03.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,9.0,12.0,22.0,35.0,40.0,22.0,20.0,8.0,175.0,0.0,175.0
01.04.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,9.0,9.0,29.0,32.0,25.0,22.0,0.0,134.0,0.0,134.0
02.04.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,7.0,20.0,38.0,39.0,36.0,16.0,4.0,166.0,0.0,166.0
04.04.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,9.0,21.0,37.0,60.0,64.0,63.0,35.0,14.0,312.0,0.0,312.0
05.04.2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,6.0,8.0,13.0,16.0,23.0,23.0,12.0,7.0,114.0,1.0,115.0
06.04.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,8.0,8.0,29.0,19.0,15.0,13.0,0.0,101.0,0.0,101.0
07.04.2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,8.0,4.0,16.0,22.0,40.0,48.0,59.0,28.0,4.0,233.0,1.0,234.0
08.04.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,8.0,21.0,17.0,31.0,36.0,24.0,4.0,147.0,0.0,147.0
09.04.2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,12.0,17.0,25.0,34.0,31.0,19.0,2.0,148.0,0.0,148.0
10.04.2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,6.0,8.0,18.0,29.0,28.0,12.0,7.0,115.0,0.0,115.0
11.04.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,11.0,27.0,21.0,31.0,23.0,7.0,132.0,0.0,132.0
12.04.2020,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,5.0,15.0,16.0,13.0,21.0,9.0,4.0,94.0,0.0,94.0
13.04.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,5.0,9.0,17.0,19.0,14.0,9.0,4.0,86.0,0.0,86.0
14.04.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,5.0,10.0,19.0,24.0,19.0,23.0,13.0,5.0,123.0,-1.0,122.0
15.04.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,6.0,8.0,23.0,37.0,36.0,39.0,23.0,8.0,189.0,0.0,189.0
