,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,Total known,Total unknown,Total
04.03.2020,,,,,,,,,,,,
06.03.2020,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,10.0,0.0,10.0
07.03.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0
08.03.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,6.0
10.03.2020,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,0.0,16.0
11.03.2020,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,6.0,0.0,-6.0
12.03.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,6.0
13.03.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
14.03.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,5.0
15.03.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,3.0
16.03.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.03.2020,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,6.0,0.0,6.0
18.03.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0
20.03.2020,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,10.0,0.0,10.0
22.03.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,,,
24.03.2020,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,11.0,,,
26.03.2020,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,6.0,11.0,0.0,11.0
28.03.2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,13.0,0.0,13.0
30.03.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,14.0,0.0,14.0
01.04.2020,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,7.0,0.0,7.0
03.04.2020,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,9.0,0.0,9.0
05.04.2020,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,9.0,0.0,9.0
07.04.2020,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,9.0,0.0,9.0
11.04.2020,0.0,0.0,0.0,0.0,1.0,1.0,3.0,6.0,8.0,19.0,0.0,19.0
15.04.2020,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,14.0,0.0,14.0
01.07.2020,0.0,0.0,0.0,1.0,0.0,1.0,8.0,14.0,33.0,57.0,0.0,57.0
28.08.2020,0.0,0.0,0.0,0.0,1.0,1.0,0.0,12.0,20.0,34.0,0.0,34.0
