Datum des Erkrankungsbeginns,Punktschätzer der Anzahl Neuerkrankungen (ohne Glättung),Untere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen (ohne Glättung),Obere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen (ohne Glättung),Punktschätzer der Anzahl Neuerkrankungen,Untere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen,Obere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen,Punktschätzer der Reproduktionszahl R,Untere Grenze des 95%-Prädiktionsintervalls der Reproduktionszahl R,Obere Grenze des 95%-Prädiktionsintervalls der Reproduktionszahl R,Punktschätzer des 7-Tage-R Wertes,Untere Grenze des 95%-Prädiktionsintervalls des 7-Tage-R Wertes,Obere Grenze des 95%-Prädiktionsintervalls des 7-Tage-R Wertes
04/17/2020,1665,1617,1717,1842,1792,1894,0.89,0.88,0.91,0.8,0.8,0.81
04/18/2020,1461,1418,1507,1712,1663,1760,0.87,0.85,0.89,0.81,0.8,0.82
04/19/2020,1314,1273,1366,1554,1508,1604,0.79,0.78,0.81,0.84,0.83,0.85
04/20/2020,1566,1517,1610,1502,1456,1550,0.79,0.77,0.8,0.84,0.83,0.84
04/21/2020,1367,1319,1416,1427,1382,1474,0.77,0.76,0.79,0.82,0.81,0.83
04/22/2020,1310,1267,1358,1389,1344,1437,0.81,0.79,0.83,0.83,0.82,0.84
04/23/2020,1297,1257,1348,1385,1340,1433,0.89,0.87,0.91,0.81,0.8,0.82
04/24/2020,1156,1119,1206,1283,1240,1332,0.85,0.84,0.87,0.81,0.81,0.82
04/25/2020,1030,990,1065,1198,1158,1244,0.84,0.82,0.86,0.83,0.82,0.84
04/26/2020,925,894,961,1102,1065,1145,0.79,0.78,0.81,0.82,0.81,0.83
04/27/2020,1121,1085,1159,1058,1022,1098,0.76,0.75,0.78,0.82,0.81,0.83
04/28/2020,943,902,980,1005,968,1041,0.78,0.76,0.8,0.81,0.8,0.82
04/29/2020,877,843,919,966,931,1005,0.81,0.79,0.83,0.81,0.8,0.82
04/30/2020,942,900,976,971,933,1009,0.88,0.86,0.9,0.81,0.8,0.82
05/01/2020,807,763,844,892,852,930,0.84,0.82,0.86,0.82,0.8,0.83
05/02/2020,738,699,784,841,801,881,0.84,0.81,0.86,0.84,0.83,0.86
05/03/2020,777,734,820,816,774,856,0.84,0.82,0.87,0.86,0.84,0.87
05/04/2020,907,871,951,807,767,850,0.83,0.81,0.86,0.88,0.87,0.9
05/05/2020,826,779,877,812,771,858,0.91,0.88,0.94,0.91,0.89,0.92
05/06/2020,768,729,811,820,778,865,0.97,0.94,1.01,0.89,0.88,0.91
05/07/2020,714,674,756,804,763,849,0.99,0.95,1.02,0.9,0.88,0.92
05/08/2020,671,636,707,745,705,788,0.92,0.89,0.96,0.89,0.88,0.91
05/09/2020,587,554,624,685,648,725,0.84,0.81,0.88,0.87,0.85,0.89
05/10/2020,546,510,588,629,593,669,0.77,0.73,0.8,0.86,0.85,0.88
05/11/2020,663,627,705,617,582,656,0.77,0.74,0.8,0.85,0.83,0.87
05/12/2020,646,600,683,610,573,650,0.82,0.79,0.86,0.84,0.82,0.86
05/13/2020,573,522,620,607,565,649,0.89,0.85,0.93,0.84,0.82,0.86
05/14/2020,519,479,566,600,557,643,0.95,0.91,1,0.88,0.85,0.91
05/15/2020,670,600,746,602,550,654,0.98,0.92,1.02,0.9,0.87,0.93
05/16/2020,515,462,571,569,516,626,0.93,0.88,0.99,0.92,0.89,0.95
05/17/2020,447,388,501,538,482,596,0.89,0.83,0.94,0.94,0.9,0.98
05/18/2020,594,502,674,557,488,623,0.93,0.85,1.01,0.9,0.86,0.94
05/19/2020,453,382,524,502,434,567,0.83,0.77,0.91,0.9,0.85,0.94
05/20/2020,509,403,612,501,419,578,0.88,0.8,0.96,0.87,0.82,0.92
05/21/2020,323,234,416,470,380,556,0.87,0.79,0.97,0.79,0.74,0.84
05/22/2020,277,183,379,390,300,483,0.7,0.63,0.8,0.76,0.7,0.81
05/23/2020,245,139,389,338,239,449,0.68,0.57,0.79,,,
