Datum des Erkrankungsbeginns,Punktschätzer der Anzahl Neuerkrankungen (ohne Glättung),Untere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen (ohne Glättung),Obere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen (ohne Glättung),Punktschätzer der Anzahl Neuerkrankungen,Untere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen,Obere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen,Punktschätzer der Reproduktionszahl R,Untere Grenze des 95%-Prädiktionsintervalls der Reproduktionszahl R,Obere Grenze des 95%-Prädiktionsintervalls der Reproduktionszahl R,Punktschätzer des 7-Tage-R Wertes,Untere Grenze des 95%-Prädiktionsintervalls des 7-Tage-R Wertes,Obere Grenze des 95%-Prädiktionsintervalls des 7-Tage-R Wertes
03/02/2020,305,291,324,225,212,238,,,,,,
03/03/2020,322,305,339,261,246,276,,,,,,
03/04/2020,451,431,468,326,310,343,,,,,,
03/05/2020,504,482,526,396,377,414,,,,,,
03/06/2020,763,742,784,510,490,529,2.27,2.2,2.36,2.34,2.3,2.4
03/07/2020,989,962,1023,677,654,700,2.59,2.52,2.68,2.57,2.52,2.61
03/08/2020,1339,1309,1373,899,874,926,2.75,2.67,2.83,2.94,2.88,2.98
03/09/2020,2022,1984,2061,1278,1249,1310,3.23,3.14,3.32,3.13,3.08,3.18
03/10/2020,2575,2528,2626,1731,1696,1771,3.39,3.32,3.47,3.21,3.16,3.26
03/11/2020,3241,3193,3293,2294,2253,2338,3.39,3.32,3.45,3.11,3.07,3.14
03/12/2020,3608,3559,3657,2862,2816,2909,3.18,3.13,3.23,2.84,2.81,2.87
03/13/2020,4368,4313,4424,3448,3398,3500,2.7,2.66,2.74,2.5,2.48,2.52
03/14/2020,4447,4387,4506,3916,3863,3970,2.26,2.23,2.29,2.18,2.17,2.2
03/15/2020,4667,4603,4729,4273,4215,4329,1.86,1.84,1.88,1.99,1.98,2
03/16/2020,6023,5963,6091,4876,4816,4937,1.7,1.69,1.72,1.74,1.73,1.75
03/17/2020,5246,5176,5307,5096,5032,5158,1.48,1.46,1.49,1.56,1.55,1.57
03/18/2020,5303,5241,5359,5310,5245,5371,1.36,1.34,1.37,1.4,1.39,1.4
03/19/2020,4738,4668,4811,5327,5262,5392,1.25,1.24,1.26,1.24,1.23,1.24
03/20/2020,5333,5269,5387,5155,5088,5216,1.06,1.05,1.07,1.13,1.13,1.14
03/21/2020,4442,4389,4498,4954,4892,5013,0.97,0.96,0.98,1.04,1.03,1.04
03/22/2020,3815,3759,3872,4582,4521,4642,0.86,0.85,0.87,0.98,0.97,0.98
03/23/2020,5150,5091,5201,4685,4627,4739,0.88,0.87,0.89,0.92,0.91,0.92
03/24/2020,4088,4034,4146,4374,4318,4429,0.85,0.84,0.85,0.89,0.89,0.9
03/25/2020,4428,4374,4496,4370,4314,4429,0.88,0.87,0.89,0.9,0.89,0.9
03/26/2020,4013,3953,4080,4420,4363,4481,0.96,0.96,0.98,0.88,0.88,0.89
03/27/2020,4130,4078,4194,4165,4110,4229,0.89,0.88,0.9,0.9,0.89,0.9
03/28/2020,3895,3845,3963,4116,4062,4183,0.94,0.93,0.95,0.91,0.9,0.91
03/29/2020,3273,3211,3340,3828,3772,3894,0.88,0.87,0.89,0.9,0.9,0.91
03/30/2020,4402,4347,4459,3925,3870,3989,0.89,0.88,0.9,0.92,0.92,0.93
03/31/2020,3585,3527,3646,3789,3732,3852,0.91,0.9,0.92,0.93,0.92,0.93
04/01/2020,4050,3989,4111,3827,3768,3889,0.93,0.92,0.94,0.93,0.93,0.94
04/02/2020,3726,3660,3797,3941,3881,4003,1.03,1.02,1.04,0.94,0.94,0.95
04/03/2020,3738,3670,3802,3774,3712,3839,0.96,0.95,0.97,0.93,0.92,0.94
04/04/2020,3009,2950,3060,3630,3567,3692,0.96,0.95,0.97,0.92,0.91,0.93
04/05/2020,2699,2637,2746,3293,3229,3351,0.86,0.85,0.87,0.89,0.89,0.9
04/06/2020,3340,3283,3398,3196,3135,3251,0.81,0.8,0.82,0.89,0.88,0.89
04/07/2020,3063,2998,3131,3028,2967,3083,0.8,0.79,0.81,0.87,0.86,0.88
04/08/2020,2871,2818,2933,2993,2934,3052,0.82,0.81,0.84,0.85,0.84,0.85
04/09/2020,2685,2633,2737,2990,2933,3050,0.91,0.9,0.92,0.83,0.82,0.83
04/10/2020,2313,2259,2362,2733,2677,2791,0.85,0.84,0.87,0.8,0.8,0.81
04/11/2020,2010,1965,2058,2470,2419,2522,0.82,0.8,0.83,0.81,0.81,0.82
04/12/2020,1964,1921,2012,2243,2194,2292,0.75,0.74,0.76,0.79,0.78,0.79
04/13/2020,1904,1855,1949,2048,2000,2095,0.69,0.68,0.7,0.79,0.78,0.79
04/14/2020,1948,1903,1997,1957,1911,2004,0.72,0.71,0.73,0.78,0.77,0.78
04/15/2020,1932,1884,1975,1937,1891,1983,0.78,0.77,0.8,0.76,0.75,0.76
04/16/2020,1760,1710,1808,1886,1838,1932,0.84,0.83,0.85,0.78,0.78,0.79
04/17/2020,1653,1603,1712,1823,1775,1873,0.89,0.87,0.91,0.8,0.79,0.81
04/18/2020,1434,1390,1482,1695,1647,1744,0.87,0.85,0.88,0.81,0.8,0.82
04/19/2020,1310,1270,1353,1539,1493,1589,0.79,0.78,0.81,0.84,0.83,0.85
04/20/2020,1574,1531,1617,1493,1448,1541,0.79,0.78,0.81,0.84,0.83,0.85
04/21/2020,1355,1311,1405,1418,1375,1464,0.78,0.76,0.8,0.83,0.82,0.84
04/22/2020,1305,1260,1350,1386,1343,1431,0.82,0.8,0.83,0.83,0.82,0.84
04/23/2020,1276,1226,1323,1378,1332,1424,0.9,0.88,0.91,0.81,0.8,0.82
04/24/2020,1159,1124,1191,1274,1230,1317,0.85,0.83,0.87,0.82,0.81,0.83
04/25/2020,1011,974,1048,1188,1146,1228,0.84,0.82,0.86,0.83,0.82,0.84
04/26/2020,906,867,951,1088,1048,1128,0.78,0.77,0.8,0.82,0.81,0.83
04/27/2020,1106,1061,1148,1046,1006,1084,0.76,0.74,0.78,0.82,0.81,0.83
04/28/2020,943,910,977,991,953,1031,0.78,0.76,0.8,0.81,0.8,0.82
04/29/2020,869,830,912,956,917,997,0.8,0.78,0.82,0.81,0.8,0.82
04/30/2020,935,901,967,963,925,1001,0.89,0.86,0.91,0.81,0.8,0.82
05/01/2020,807,771,842,888,853,924,0.85,0.82,0.87,0.82,0.8,0.83
05/02/2020,735,705,776,836,801,874,0.84,0.82,0.86,0.85,0.83,0.86
05/03/2020,764,736,797,810,778,845,0.85,0.83,0.87,0.86,0.85,0.87
05/04/2020,900,867,931,802,769,836,0.83,0.81,0.85,0.89,0.88,0.9
05/05/2020,823,789,857,806,774,840,0.91,0.88,0.94,0.91,0.89,0.92
05/06/2020,749,708,786,809,775,842,0.97,0.94,1,0.89,0.88,0.9
05/07/2020,711,677,745,796,760,830,0.98,0.95,1.01,0.9,0.89,0.92
05/08/2020,681,650,710,741,706,774,0.92,0.9,0.95,0.89,0.88,0.91
05/09/2020,589,559,619,683,648,715,0.85,0.82,0.88,0.88,0.86,0.89
05/10/2020,558,530,593,635,604,667,0.78,0.76,0.82,0.87,0.86,0.88
