Datum des Erkrankungsbeginns,Punktschätzer der Anzahl Neuerkrankungen (ohne Glättung),Untere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen (ohne Glättung),Obere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen (ohne Glättung),Punktschätzer der Anzahl Neuerkrankungen,Untere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen,Obere Grenze des 95%-Prädiktionsintervalls der Anzahl Neuerkrankungen,Punktschätzer der Reproduktionszahl R,Untere Grenze des 95%-Prädiktionsintervalls der Reproduktionszahl R,Obere Grenze des 95%-Prädiktionsintervalls der Reproduktionszahl R,Punktschätzer des 7-Tage-R Wertes,Untere Grenze des 95%-Prädiktionsintervalls des 7-Tage-R Wertes,Obere Grenze des 95%-Prädiktionsintervalls des 7-Tage-R Wertes
05/11/2020,661,631,692,622,592,653,0.78,0.76,0.81,0.85,0.84,0.87
05/12/2020,621,586,653,607,576,639,0.82,0.79,0.85,0.85,0.83,0.86
05/13/2020,587,553,623,607,575,640,0.89,0.86,0.92,0.84,0.82,0.86
05/14/2020,522,488,556,598,564,631,0.94,0.91,0.98,0.88,0.87,0.9
05/15/2020,676,645,708,602,568,635,0.97,0.93,1,0.91,0.9,0.93
05/16/2020,556,529,584,585,554,617,0.96,0.94,1,0.92,0.91,0.94
05/17/2020,443,414,472,549,519,580,0.91,0.88,0.94,0.95,0.94,0.97
05/18/2020,615,585,644,573,543,602,0.96,0.93,1,0.92,0.9,0.94
05/19/2020,472,444,502,521,493,550,0.87,0.83,0.9,0.92,0.9,0.94
05/20/2020,571,543,601,525,497,555,0.9,0.87,0.93,0.92,0.9,0.93
05/21/2020,391,364,419,512,484,541,0.93,0.9,0.97,0.85,0.84,0.87
05/22/2020,386,364,408,455,429,482,0.79,0.77,0.82,0.84,0.82,0.85
05/23/2020,361,340,383,427,403,453,0.82,0.79,0.86,0.82,0.8,0.84
05/24/2020,372,342,396,377,352,401,0.72,0.69,0.75,0.81,0.79,0.83
05/25/2020,459,436,489,395,370,419,0.77,0.74,0.8,0.87,0.85,0.88
05/26/2020,432,410,460,406,382,432,0.89,0.86,0.93,0.88,0.86,0.9
05/27/2020,457,433,479,430,405,456,1.01,0.96,1.05,0.9,0.88,0.92
05/28/2020,386,363,411,434,411,459,1.15,1.1,1.2,0.94,0.92,0.96
05/29/2020,356,332,379,408,385,432,1.03,0.99,1.08,0.93,0.91,0.95
05/30/2020,296,275,316,374,351,396,0.92,0.88,0.96,0.93,0.91,0.94
05/31/2020,260,235,279,325,301,346,0.75,0.72,0.79,0.88,0.86,0.9
06/01/2020,332,311,361,311,288,334,0.72,0.69,0.75,0.9,0.88,0.92
06/02/2020,448,424,476,334,311,358,0.82,0.79,0.85,0.9,0.88,0.92
06/03/2020,399,372,429,360,335,386,0.96,0.92,1.01,0.92,0.9,0.94
06/04/2020,350,323,378,383,358,411,1.18,1.12,1.25,0.96,0.93,0.98
06/05/2020,321,299,345,380,354,407,1.22,1.17,1.29,0.95,0.92,0.98
06/06/2020,295,271,322,342,316,369,1.02,0.97,1.07,0.96,0.93,0.98
06/07/2020,229,213,251,299,276,324,0.83,0.79,0.88,1,0.98,1.03
06/08/2020,408,383,431,313,291,337,0.82,0.78,0.86,1.02,0.99,1.04
06/09/2020,445,414,478,344,320,371,0.91,0.86,0.95,1.03,1,1.06
06/10/2020,428,398,457,378,352,404,1.11,1.04,1.16,1.05,1.02,1.08
06/11/2020,358,333,386,410,382,438,1.37,1.3,1.44,1.03,0.99,1.05
06/12/2020,352,326,382,396,368,425,1.26,1.19,1.33,1.06,1.03,1.08
06/13/2020,365,332,401,376,347,406,1.09,1.04,1.16,1.09,1.06,1.12
06/14/2020,344,302,388,355,323,389,0.94,0.89,0.99,1.19,1.15,1.23
06/15/2020,667,609,738,432,392,477,1.05,0.99,1.12,1.5,1.42,1.59
06/16/2020,1252,1102,1436,657,586,741,1.66,1.53,1.81,1.54,1.46,1.64
06/17/2020,638,562,708,725,644,818,1.93,1.78,2.13,1.54,1.46,1.64
06/18/2020,537,460,601,773,683,871,2.18,1.99,2.37,1.47,1.39,1.55
06/19/2020,549,468,632,744,648,844,1.72,1.58,1.89,1.19,1.15,1.23
06/20/2020,508,418,603,558,477,636,0.85,0.77,0.93,1.14,1.09,1.19
06/21/2020,377,291,466,493,409,576,0.68,0.6,0.76,1.04,0.99,1.09
06/22/2020,445,326,587,470,376,572,0.61,0.54,0.68,0.78,0.73,0.85
06/23/2020,355,250,468,421,321,531,0.57,0.5,0.64,0.71,0.65,0.77
06/24/2020,414,251,593,398,280,529,0.71,0.59,0.84,,,
