,Predicted IFR,95% Confidence Interval,,95% Prediction Interval,
Age,IFR,Lower,Upper,Lower Prediction,Upper Prediction
50.5,0.225,0.196,0.257,0.061,0.820
51.0,0.238,0.208,0.273,0.065,0.871
51.5,0.253,0.221,0.290,0.069,0.924
52.0,0.269,0.234,0.308,0.074,0.981
52.5,0.285,0.249,0.327,0.078,1.042
53.0,0.303,0.264,0.347,0.083,1.106
53.5,0.321,0.280,0.368,0.088,1.174
54.0,0.341,0.298,0.391,0.093,1.246
54.5,0.362,0.316,0.415,0.099,1.323
55.0,0.384,0.335,0.441,0.105,1.405
55.5,0.408,0.356,0.468,0.112,1.491
56.0,0.433,0.377,0.497,0.119,1.583
56.5,0.460,0.400,0.528,0.126,1.681
57.0,0.488,0.425,0.561,0.134,1.784
57.5,0.518,0.450,0.596,0.142,1.894
58.0,0.550,0.478,0.633,0.150,2.011
58.5,0.584,0.507,0.673,0.160,2.135
59.0,0.620,0.538,0.715,0.170,2.267
59.5,0.658,0.570,0.760,0.180,2.406
60.0,0.699,0.605,0.807,0.191,2.555
60.5,0.742,0.641,0.858,0.203,2.713
61.0,0.787,0.680,0.912,0.215,2.880
61.5,0.836,0.721,0.969,0.228,3.058
62.0,0.887,0.764,1.030,0.242,3.246
62.5,0.942,0.810,1.095,0.257,3.447
63.0,1.000,0.859,1.164,0.273,3.659
63.5,1.061,0.911,1.237,0.290,3.885
64.0,1.127,0.965,1.315,0.308,4.125
64.5,1.196,1.023,1.398,0.327,4.380
65.0,1.270,1.085,1.486,0.347,4.650
65.5,1.348,1.150,1.580,0.368,4.938
66.0,1.431,1.219,1.680,0.391,5.243
66.5,1.519,1.292,1.786,0.414,5.567
67.0,1.612,1.369,1.899,0.440,5.910
67.5,1.712,1.451,2.020,0.467,6.276
68.0,1.817,1.537,2.148,0.495,6.664
68.5,1.929,1.629,2.284,0.526,7.075
69.0,2.048,1.726,2.429,0.558,7.513
69.5,2.174,1.829,2.584,0.592,7.977
70.0,2.308,1.938,2.748,0.629,8.471
70.5,2.450,2.053,2.923,0.667,8.994
71.0,2.600,2.175,3.109,0.708,9.551
71.5,2.761,2.305,3.307,0.751,10.141
72.0,2.931,2.442,3.517,0.797,10.769
72.5,3.111,2.587,3.741,0.846,11.435
73.0,3.302,2.740,3.980,0.898,12.143
73.5,3.506,2.903,4.234,0.953,12.894
74.0,3.722,3.075,4.504,1.012,13.692
74.5,3.951,3.258,4.792,1.074,14.540
75.0,4.194,3.451,5.098,1.139,15.440
75.5,4.452,3.655,5.423,1.209,16.396
76.0,4.726,3.871,5.770,1.283,17.411
76.5,5.017,4.101,6.139,1.361,18.489
77.0,5.326,4.343,6.531,1.445,19.635
77.5,5.654,4.600,6.949,1.533,20.851
78.0,6.002,4.872,7.394,1.627,22.143
78.5,6.372,5.160,7.867,1.727,23.514
79.0,6.764,5.465,8.371,1.832,24.972
79.5,7.180,5.788,8.907,1.944,26.519
80.0,7.622,6.130,9.478,2.063,28.163
80.5,8.092,6.492,10.086,2.189,29.909
81.0,8.590,6.875,10.732,2.323,31.763
81.5,9.119,7.281,11.421,2.465,33.732
82.0,9.680,7.710,12.153,2.616,35.824
82.5,10.276,8.165,12.933,2.776,38.046
83.0,10.909,8.646,13.763,2.945,40.406
83.5,11.580,9.156,14.646,3.125,42.912
84.0,12.293,9.696,15.587,3.316,45.574
84.5,13.050,10.267,16.588,3.519,48.402
85.0,13.853,10.872,17.653,3.733,51.406
85.5,14.706,11.512,18.787,3.961,54.596
86.0,15.612,12.190,19.994,4.203,57.985
86.5,16.573,12.907,21.279,4.460,61.584
87.0,17.593,13.667,22.647,4.732,65.408
87.5,18.676,14.471,24.103,5.021,69.469
88.0,19.826,15.323,25.653,5.327,73.783
88.5,21.047,16.224,27.303,5.653,78.365
89.0,22.343,17.178,29.059,5.997,83.233
89.5,23.718,18.188,30.929,6.363,88.403
90.0,25.178,19.258,32.919,6.752,93.895
90.5,26.728,20.390,35.037,7.163,99.730
91.0,28.374,21.588,37.292,7.600,100.000
91.5,30.121,22.857,39.693,8.064,100.000
92.0,31.975,24.200,42.248,8.555,100.000
92.5,33.944,25.622,44.968,9.077,100.000
93.0,36.033,27.127,47.864,9.630,100.000
93.5,38.252,28.720,50.947,10.217,100.000
94.0,40.607,30.407,54.228,10.840,100.000
94.5,43.107,32.192,57.722,11.501,100.000
95.0,45.761,34.082,61.440,12.201,100.000
95.5,48.578,36.083,65.399,12.945,100.000
96.0,51.568,38.201,69.614,13.733,100.000
