,"('Czechia', '0-9')","('Czechia', '10-19')","('Czechia', '20-29')","('Czechia', '30-39')","('Czechia', '40-49')","('Czechia', '50-59')","('Czechia', '60-69')","('Czechia', '70-79')","('Czechia', '80-89')","('Czechia', '90-120')"
18-05-2020,5.0,4.0,12.0,12.0,32.0,22.0,7.0,7.0,2.0,0.0
19-05-2020,1.0,2.0,5.0,11.0,16.0,9.0,3.0,0.0,1.0,0.0
20-05-2020,3.0,2.0,9.0,11.0,18.0,18.0,1.0,5.0,1.0,0.0
21-05-2020,1.0,3.0,5.0,5.0,6.0,5.0,2.0,0.0,1.0,0.0
22-05-2020,2.0,5.0,9.0,12.0,10.0,6.0,3.0,3.0,0.0,0.0
23-05-2020,6.0,9.0,8.0,9.0,15.0,15.0,6.0,5.0,1.0,0.0
24-05-2020,1.0,3.0,5.0,9.0,24.0,18.0,1.0,0.0,0.0,0.0
25-05-2020,0.0,1.0,5.0,3.0,9.0,15.0,6.0,2.0,3.0,0.0
26-05-2020,3.0,1.0,8.0,5.0,12.0,9.0,2.0,2.0,0.0,0.0
27-05-2020,5.0,2.0,3.0,9.0,3.0,4.0,1.0,3.0,0.0,0.0
28-05-2020,3.0,3.0,7.0,5.0,12.0,9.0,4.0,3.0,3.0,0.0
29-05-2020,4.0,2.0,10.0,14.0,11.0,4.0,2.0,1.0,2.0,0.0
30-05-2020,3.0,1.0,3.0,3.0,6.0,4.0,2.0,2.0,3.0,0.0
31-05-2020,0.0,0.0,3.0,7.0,6.0,1.0,1.0,1.0,5.0,1.0
01-06-2020,1.0,0.0,5.0,6.0,5.0,6.0,1.0,1.0,1.0,2.0
02-06-2020,3.0,7.0,8.0,6.0,12.0,3.0,7.0,1.0,2.0,1.0
03-06-2020,5.0,7.0,9.0,12.0,9.0,8.0,2.0,4.0,1.0,1.0
04-06-2020,2.0,2.0,5.0,4.0,11.0,7.0,4.0,4.0,5.0,1.0
05-06-2020,0.0,1.0,3.0,4.0,6.0,5.0,2.0,2.0,0.0,0.0
06-06-2020,5.0,1.0,3.0,4.0,6.0,8.0,4.0,4.0,0.0,0.0
07-06-2020,4.0,5.0,2.0,7.0,15.0,10.0,3.0,5.0,3.0,0.0
08-06-2020,2.0,1.0,9.0,7.0,18.0,18.0,5.0,5.0,1.0,2.0
09-06-2020,1.0,1.0,8.0,7.0,8.0,12.0,6.0,3.0,0.0,1.0
10-06-2020,2.0,4.0,5.0,9.0,18.0,13.0,4.0,3.0,2.0,3.0
11-06-2020,3.0,1.0,8.0,3.0,16.0,10.0,4.0,0.0,1.0,1.0
12-06-2020,4.0,2.0,5.0,14.0,7.0,5.0,4.0,3.0,0.0,1.0
13-06-2020,5.0,3.0,5.0,12.0,9.0,11.0,1.0,0.0,1.0,3.0
14-06-2020,4.0,2.0,2.0,4.0,5.0,6.0,2.0,1.0,1.0,2.0
15-06-2020,3.0,2.0,2.0,5.0,8.0,3.0,2.0,5.0,2.0,3.0
16-06-2020,1.0,3.0,2.0,8.0,11.0,7.0,2.0,1.0,3.0,2.0
17-06-2020,0.0,1.0,4.0,8.0,14.0,8.0,4.0,2.0,2.0,0.0
18-06-2020,3.0,7.0,15.0,12.0,31.0,15.0,7.0,6.0,9.0,0.0
19-06-2020,1.0,11.0,16.0,13.0,21.0,15.0,11.0,8.0,10.0,6.0
20-06-2020,2.0,2.0,5.0,3.0,12.0,5.0,5.0,1.0,1.0,0.0
21-06-2020,4.0,4.0,7.0,11.0,8.0,3.0,7.0,2.0,0.0,0.0
22-06-2020,1.0,1.0,9.0,11.0,12.0,11.0,4.0,5.0,1.0,0.0
23-06-2020,2.0,11.0,8.0,16.0,19.0,10.0,8.0,1.0,2.0,1.0
24-06-2020,10.0,7.0,8.0,16.0,20.0,24.0,7.0,4.0,6.0,1.0
25-06-2020,1.0,5.0,9.0,11.0,25.0,18.0,1.0,3.0,1.0,0.0
26-06-2020,4.0,1.0,20.0,31.0,35.0,40.0,7.0,3.0,1.0,0.0
27-06-2020,6.0,4.0,17.0,34.0,51.0,71.0,10.0,4.0,1.0,0.0
28-06-2020,0.0,2.0,27.0,62.0,79.0,67.0,3.0,2.0,1.0,0.0
29-06-2020,5.0,5.0,9.0,30.0,65.0,48.0,9.0,1.0,2.0,1.0
30-06-2020,7.0,11.0,11.0,16.0,37.0,27.0,6.0,5.0,2.0,0.0
01-07-2020,3.0,8.0,9.0,17.0,18.0,14.0,4.0,6.0,0.0,0.0
02-07-2020,4.0,16.0,16.0,12.0,31.0,23.0,11.0,2.0,0.0,1.0
03-07-2020,9.0,10.0,20.0,20.0,25.0,16.0,14.0,2.0,3.0,0.0
04-07-2020,9.0,20.0,20.0,9.0,33.0,17.0,4.0,3.0,1.0,1.0
05-07-2020,6.0,9.0,9.0,12.0,12.0,12.0,5.0,4.0,1.0,1.0
06-07-2020,6.0,3.0,6.0,6.0,10.0,10.0,6.0,2.0,0.0,0.0
07-07-2020,7.0,6.0,8.0,17.0,33.0,21.0,10.0,4.0,0.0,0.0
08-07-2020,8.0,4.0,15.0,19.0,20.0,20.0,5.0,6.0,3.0,0.0
09-07-2020,11.0,2.0,10.0,17.0,24.0,14.0,6.0,1.0,1.0,0.0
10-07-2020,6.0,12.0,17.0,23.0,17.0,16.0,10.0,6.0,3.0,1.0
11-07-2020,5.0,5.0,5.0,8.0,11.0,9.0,3.0,4.0,1.0,0.0
12-07-2020,3.0,8.0,7.0,4.0,9.0,13.0,3.0,4.0,1.0,0.0
13-07-2020,7.0,3.0,9.0,11.0,9.0,10.0,2.0,3.0,3.0,2.0
14-07-2020,4.0,5.0,15.0,11.0,18.0,18.0,7.0,8.0,2.0,0.0
15-07-2020,8.0,10.0,15.0,17.0,29.0,15.0,12.0,5.0,1.0,0.0
16-07-2020,10.0,13.0,21.0,19.0,26.0,20.0,6.0,5.0,3.0,0.0
17-07-2020,4.0,13.0,16.0,13.0,25.0,17.0,4.0,8.0,0.0,0.0
18-07-2020,7.0,16.0,24.0,8.0,18.0,9.0,6.0,1.0,1.0,0.0
19-07-2020,2.0,19.0,18.0,9.0,13.0,10.0,1.0,3.0,3.0,1.0
20-07-2020,5.0,10.0,26.0,14.0,36.0,20.0,10.0,9.0,3.0,1.0
21-07-2020,4.0,23.0,44.0,24.0,38.0,21.0,12.0,8.0,4.0,0.0
22-07-2020,9.0,35.0,49.0,25.0,28.0,31.0,17.0,11.0,7.0,2.0
23-07-2020,7.0,30.0,38.0,30.0,34.0,28.0,12.0,10.0,8.0,6.0
24-07-2020,11.0,38.0,61.0,30.0,30.0,19.0,16.0,18.0,14.0,9.0
25-07-2020,5.0,20.0,36.0,14.0,14.0,11.0,7.0,4.0,4.0,3.0
26-07-2020,2.0,17.0,22.0,12.0,17.0,8.0,7.0,6.0,7.0,2.0
27-07-2020,7.0,32.0,29.0,19.0,34.0,15.0,11.0,11.0,4.0,0.0
28-07-2020,8.0,53.0,49.0,33.0,41.0,30.0,9.0,10.0,3.0,0.0
29-07-2020,11.0,33.0,60.0,40.0,51.0,27.0,11.0,8.0,3.0,0.0
30-07-2020,5.0,32.0,61.0,36.0,35.0,32.0,15.0,8.0,5.0,1.0
31-07-2020,9.0,37.0,42.0,26.0,27.0,24.0,11.0,8.0,5.0,0.0
01-08-2020,2.0,14.0,19.0,16.0,22.0,15.0,6.0,4.0,0.0,2.0
02-08-2020,8.0,8.0,14.0,23.0,16.0,5.0,5.0,5.0,7.0,3.0
03-08-2020,5.0,22.0,32.0,32.0,39.0,11.0,16.0,8.0,8.0,0.0
04-08-2020,12.0,17.0,48.0,40.0,44.0,23.0,15.0,15.0,13.0,7.0
05-08-2020,7.0,15.0,61.0,32.0,29.0,25.0,16.0,8.0,6.0,2.0
06-08-2020,2.0,12.0,59.0,33.0,33.0,20.0,12.0,4.0,3.0,0.0
07-08-2020,12.0,28.0,68.0,45.0,41.0,30.0,18.0,17.0,6.0,4.0
08-08-2020,3.0,10.0,38.0,28.0,17.0,22.0,8.0,8.0,4.0,0.0
09-08-2020,3.0,13.0,19.0,7.0,23.0,11.0,11.0,9.0,4.0,2.0
10-08-2020,2.0,6.0,42.0,18.0,15.0,14.0,8.0,0.0,0.0,0.0
11-08-2020,10.0,10.0,72.0,37.0,36.0,23.0,16.0,7.0,2.0,1.0
12-08-2020,4.0,27.0,45.0,29.0,49.0,31.0,18.0,8.0,10.0,1.0
13-08-2020,13.0,20.0,58.0,57.0,49.0,34.0,22.0,9.0,7.0,1.0
14-08-2020,10.0,11.0,52.0,46.0,37.0,32.0,21.0,17.0,7.0,1.0
15-08-2020,3.0,9.0,29.0,28.0,33.0,19.0,8.0,12.0,6.0,2.0
16-08-2020,8.0,7.0,17.0,24.0,12.0,13.0,11.0,2.0,4.0,1.0
17-08-2020,11.0,16.0,27.0,36.0,27.0,21.0,8.0,8.0,4.0,0.0
18-08-2020,16.0,16.0,46.0,44.0,42.0,35.0,17.0,9.0,6.0,0.0
19-08-2020,15.0,33.0,49.0,35.0,54.0,23.0,18.0,17.0,3.0,2.0
20-08-2020,5.0,34.0,62.0,33.0,22.0,23.0,14.0,10.0,2.0,0.0
21-08-2020,12.0,43.0,91.0,67.0,78.0,57.0,28.0,29.0,21.0,6.0
22-08-2020,12.0,21.0,42.0,35.0,32.0,22.0,17.0,10.0,5.0,2.0
23-08-2020,4.0,10.0,23.0,15.0,16.0,12.0,15.0,11.0,3.0,1.0
24-08-2020,15.0,30.0,50.0,39.0,24.0,22.0,6.0,14.0,4.0,0.0
25-08-2020,10.0,24.0,68.0,50.0,52.0,37.0,31.0,19.0,5.0,3.0
26-08-2020,12.0,22.0,80.0,59.0,58.0,35.0,25.0,18.0,7.0,0.0
27-08-2020,11.0,16.0,61.0,72.0,53.0,31.0,23.0,23.0,7.0,0.0
28-08-2020,24.0,31.0,89.0,93.0,62.0,53.0,32.0,23.0,10.0,3.0
29-08-2020,9.0,17.0,63.0,56.0,50.0,41.0,25.0,16.0,8.0,3.0
30-08-2020,8.0,19.0,66.0,50.0,35.0,25.0,15.0,4.0,3.0,0.0
31-08-2020,12.0,17.0,40.0,29.0,39.0,33.0,20.0,12.0,4.0,0.0
01-09-2020,14.0,28.0,95.0,68.0,87.0,60.0,30.0,21.0,9.0,0.0
02-09-2020,24.0,49.0,125.0,95.0,96.0,80.0,44.0,37.0,8.0,1.0
03-09-2020,28.0,49.0,117.0,125.0,101.0,75.0,53.0,21.0,13.0,1.0
04-09-2020,23.0,80.0,151.0,135.0,133.0,84.0,56.0,32.0,16.0,8.0
05-09-2020,12.0,36.0,86.0,75.0,108.0,59.0,42.0,21.0,9.0,5.0
06-09-2020,19.0,36.0,79.0,86.0,62.0,35.0,27.0,11.0,6.0,2.0
07-09-2020,17.0,65.0,92.0,91.0,94.0,78.0,36.0,29.0,7.0,1.0
08-09-2020,39.0,124.0,232.0,171.0,210.0,139.0,64.0,50.0,14.0,4.0
09-09-2020,39.0,128.0,183.0,165.0,200.0,138.0,78.0,36.0,37.0,7.0
10-09-2020,57.0,199.0,247.0,192.0,236.0,151.0,81.0,50.0,18.0,5.0
11-09-2020,53.0,204.0,271.0,224.0,227.0,142.0,86.0,59.0,22.0,8.0
12-09-2020,68.0,251.0,241.0,225.0,230.0,157.0,79.0,61.0,42.0,16.0
13-09-2020,40.0,126.0,143.0,105.0,130.0,74.0,51.0,34.0,15.0,2.0
14-09-2020,61.0,163.0,170.0,149.0,176.0,98.0,54.0,45.0,9.0,3.0
15-09-2020,76.0,263.0,266.0,221.0,304.0,180.0,92.0,71.0,31.0,6.0
16-09-2020,100.0,370.0,304.0,296.0,384.0,229.0,115.0,73.0,48.0,9.0
17-09-2020,121.0,514.0,493.0,407.0,495.0,350.0,191.0,110.0,46.0,3.0
18-09-2020,72.0,416.0,314.0,250.0,341.0,173.0,134.0,85.0,16.0,10.0
19-09-2020,122.0,342.0,307.0,221.0,344.0,178.0,91.0,55.0,21.0,10.0
20-09-2020,37.0,165.0,126.0,115.0,148.0,102.0,57.0,39.0,18.0,5.0
21-09-2020,74.0,267.0,184.0,166.0,271.0,158.0,88.0,48.0,20.0,2.0
22-09-2020,122.0,387.0,305.0,301.0,377.0,271.0,136.0,92.0,41.0,16.0
23-09-2020,77.0,335.0,303.0,264.0,393.0,244.0,129.0,106.0,31.0,10.0
24-09-2020,108.0,396.0,341.0,336.0,464.0,293.0,202.0,124.0,52.0,11.0
25-09-2020,138.0,426.0,417.0,409.0,592.0,384.0,232.0,162.0,41.0,3.0
26-09-2020,118.0,317.0,266.0,294.0,392.0,256.0,130.0,88.0,30.0,5.0
27-09-2020,72.0,294.0,171.0,164.0,228.0,145.0,94.0,52.0,26.0,4.0
28-09-2020,76.0,246.0,138.0,145.0,256.0,149.0,83.0,79.0,34.0,5.0
29-09-2020,79.0,269.0,236.0,263.0,415.0,253.0,164.0,106.0,53.0,11.0
30-09-2020,113.0,352.0,389.0,421.0,605.0,400.0,239.0,172.0,78.0,21.0
01-10-2020,145.0,332.0,439.0,496.0,754.0,522.0,330.0,211.0,86.0,20.0
02-10-2020,112.0,354.0,544.0,587.0,786.0,552.0,320.0,226.0,88.0,15.0
03-10-2020,95.0,228.0,370.0,354.0,524.0,365.0,198.0,184.0,81.0,19.0
04-10-2020,51.0,155.0,233.0,230.0,315.0,187.0,162.0,87.0,54.0,14.0
