Phi,k,N_equilibrium
1.0,0.351,2.06842
1.0,0.352,2.0775099999999997
1.0,0.353,2.0866700000000002
1.0,0.354,2.09591
1.0,0.355,2.10521
1.0,0.356,2.11459
1.0,0.357,2.12405
1.0,0.358,2.13358
1.0,0.359,2.14319
1.0,0.36,2.15287
1.0,0.361,2.16263
1.0,0.362,2.17247
1.0,0.363,2.1823900000000003
1.0,0.364,2.1924
1.0,0.365,2.20248
1.0,0.366,2.21265
1.0,0.367,2.2229
1.0,0.368,2.23323
1.0,0.369,2.2436599999999998
1.0,0.37,2.2541700000000002
1.0,0.371,2.26476
1.0,0.372,2.27545
1.0,0.373,2.2862299999999998
1.0,0.374,2.2971
1.0,0.375,2.30806
1.0,0.376,2.3191200000000003
1.0,0.377,2.33027
1.0,0.378,2.34152
1.0,0.379,2.3528599999999997
1.0,0.38,2.3643099999999997
1.0,0.381,2.37585
1.0,0.382,2.3875
1.0,0.383,2.39925
1.0,0.384,2.41111
1.0,0.385,2.42307
1.0,0.386,2.43513
1.0,0.387,2.44731
1.0,0.388,2.4596
1.0,0.389,2.4719900000000004
1.0,0.39,2.4845099999999998
1.0,0.391,2.49713
1.0,0.392,2.50988
1.0,0.393,2.52274
1.0,0.394,2.53572
1.0,0.395,2.54882
1.0,0.396,2.56204
1.0,0.397,2.57539
1.0,0.398,2.58887
1.0,0.399,2.6024700000000003
1.0,0.4,2.6162
1.0,0.401,2.63007
1.0,0.402,2.64407
1.0,0.403,2.65821
1.0,0.404,2.6724799999999997
1.0,0.405,2.68689
1.0,0.406,2.70145
1.0,0.407,2.71615
1.0,0.408,2.7310000000000003
1.0,0.409,2.74599
1.0,0.41,2.76114
1.0,0.411,2.77643
1.0,0.412,2.79189
1.0,0.413,2.8075
1.0,0.414,2.82327
1.0,0.415,2.8392
1.0,0.416,2.8553
1.0,0.417,2.87157
1.0,0.418,2.888
1.0,0.419,2.90461
1.0,0.42,2.9214
1.0,0.421,2.93836
1.0,0.422,2.95551
1.0,0.423,2.97283
1.0,0.424,2.99035
1.0,0.425,3.00806
1.0,0.426,3.02596
1.0,0.427,3.04405
1.0,0.428,3.06235
1.0,0.429,3.08085
1.0,0.43,3.09956
1.0,0.431,3.11847
1.0,0.432,3.1376
1.0,0.433,3.15695
1.0,0.434,3.17652
1.0,0.435,3.19631
1.0,0.436,3.21633
1.0,0.437,3.23659
1.0,0.438,3.2570799999999998
1.0,0.439,3.2778099999999997
1.0,0.44,3.2987900000000003
1.0,0.441,3.3200199999999995
1.0,0.442,3.3415
1.0,0.443,3.3632400000000002
1.0,0.444,3.38524
1.0,0.445,3.40751
1.0,0.446,3.4300599999999997
1.0,0.447,3.4528800000000004
1.0,0.448,3.4759800000000003
1.0,0.449,3.4993800000000004
1.0,0.45,3.5230699999999997
1.0,0.451,3.5470599999999997
1.0,0.452,3.57135
1.0,0.453,3.59595
1.0,0.454,3.62088
1.0,0.455,3.64612
1.0,0.456,3.6717
1.0,0.457,3.69761
1.0,0.458,3.7238599999999997
1.0,0.459,3.7504699999999995
1.0,0.46,3.7774300000000003
1.0,0.461,3.80475
1.0,0.462,3.83245
1.0,0.463,3.8605300000000002
1.0,0.464,3.88899
1.0,0.465,3.91785
1.0,0.466,3.94711
1.0,0.467,3.97678
1.0,0.468,4.006869999999999
1.0,0.469,4.0374
1.0,0.47,4.06836
1.0,0.471,4.0997699999999995
1.0,0.472,4.13164
1.0,0.473,4.16397
1.0,0.474,4.19679
1.0,0.475,4.230090000000001
1.0,0.476,4.2639
1.0,0.477,4.29822
1.0,0.478,4.33306
1.0,0.479,4.36843
1.0,0.48,4.40436
1.0,0.481,4.440840000000001
1.0,0.482,4.4779
1.0,0.483,4.5155400000000006
1.0,0.484,4.55379
1.0,0.485,4.5926599999999995
1.0,0.486,4.63215
1.0,0.487,4.67229
1.0,0.488,4.7131
1.0,0.489,4.754580000000001
1.0,0.49,4.79676
1.0,0.491,4.83966
1.0,0.492,4.883290000000001
1.0,0.493,4.9276599999999995
1.0,0.494,4.97281
1.0,0.495,5.018759999999999
1.0,0.496,5.06551
1.0,0.497,5.1131
1.0,0.498,5.1615400000000005
1.0,0.499,5.21086
1.0,0.5,5.26109
1.0,0.501,5.31225
1.0,0.502,5.36436
1.0,0.503,5.41745
1.0,0.504,5.47155
1.0,0.505,5.5267
1.0,0.506,5.58291
1.0,0.507,5.640219999999999
1.0,0.508,5.69867
1.0,0.509,5.75828
1.0,0.51,5.8191
1.0,0.511,5.88115
1.0,0.512,5.94449
1.0,0.513,6.00914
1.0,0.514,6.07515
1.0,0.515,6.14256
1.0,0.516,6.2114199999999995
1.0,0.517,6.28178
1.0,0.518,6.353680000000001
1.0,0.519,6.427169999999999
1.0,0.52,6.50232
1.0,0.521,6.5791699999999995
1.0,0.522,6.657780000000001
1.0,0.523,6.73822
1.0,0.524,6.82055
1.0,0.525,6.9048300000000005
1.0,0.526,6.99114
1.0,0.527,7.079560000000001
1.0,0.528,7.17015
1.0,0.529,7.26301
1.0,0.53,7.358210000000001
1.0,0.531,7.45585
1.0,0.532,7.556019999999999
1.0,0.533,7.6588199999999995
1.0,0.534,7.764360000000001
1.0,0.535,7.872739999999999
1.0,0.536,7.984089999999999
1.0,0.537,8.09853
1.0,0.538,8.21618
1.0,0.539,8.33719
1.0,0.54,8.4617
1.0,0.541,8.58986
1.0,0.542,8.72184
1.0,0.543,8.85781
1.0,0.544,8.99796
1.0,0.545,9.14248
1.0,0.546,9.29157
1.0,0.547,9.44547
1.0,0.548,9.6044
1.0,0.549,9.76861
1.0,0.55,9.93838
1.0,0.551,10.113999999999999
1.0,0.552,10.2957
1.0,0.553,10.484000000000002
1.0,0.554,10.679
1.0,0.555,10.8813
1.0,0.556,11.0912
1.0,0.557,11.3091
1.0,0.558,11.5355
1.0,0.559,11.770999999999999
1.0,0.56,12.0161
1.0,0.561,12.2713
1.0,0.562,12.5374
1.0,0.563,12.815
1.0,0.564,13.1049
1.0,0.565,13.408
1.0,0.566,13.7251
1.0,0.567,14.0572
1.0,0.568,14.4055
1.0,0.569,14.7711
1.0,0.57,15.1554
1.0,0.571,15.5598
1.0,0.572,15.985999999999999
1.0,0.573,16.4358
1.0,0.574,16.9111
1.0,0.575,17.4143
1.0,0.576,17.9477
1.0,0.577,18.5142
1.0,0.578,19.1171
1.0,0.579,19.7597
1.0,0.58,20.4463
1.0,0.581,21.1813
1.0,0.582,21.97
1.0,0.583,22.8184
1.0,0.584,23.7335
1.0,0.585,24.7232
1.0,0.586,25.7966
1.0,0.587,26.9646
1.0,0.588,28.2396
1.0,0.589,29.6364
1.0,0.59,31.1722
1.0,0.591,32.8674
1.0,0.592,34.7464
1.0,0.593,36.838
1.0,0.594,39.1769
1.0,0.595,41.8049
1.0,0.596,44.7722
1.0,0.597,48.1398
1.0,0.598,51.9819
1.0,0.599,56.3893
1.0,0.6,61.4733
1.0,0.601,67.3708
1.0,0.602,74.251
1.0,0.603,82.3237
1.0,0.604,106.514
1.0,0.605,68786800.0
1.0,0.606,822437000000.0
1.0,0.607,643066000000000.0
1.0,0.608,1.06245e+17
1.0,0.609,6.51294e+18
1.0,0.61,2.02127e+20
1.0,0.611,3.83406e+21
1.0,0.612,5.02229e+22
1.0,0.613,4.93684e+23
1.0,0.614,3.86341e+24
1.0,0.615,2.51313e+25
1.0,0.616,1.40378e+26
1.0,0.617,6.90376e+26
1.0,0.618,3.04842e+27
1.0,0.619,1.22758e+28
1.0,0.62,4.56543e+28
1.0,0.621,1.58433e+29
1.0,0.622,5.17423e+29
1.0,0.623,1.60171e+30
1.0,0.624,4.72775e+30
1.0,0.625,1.33752e+31
1.0,0.626,3.64225e+31
1.0,0.627,9.58451e+31
1.0,0.628,2.44486e+32
1.0,0.629,6.06266e+32
1.0,0.63,1.4653e+33
1.0,0.631,3.459e+33
1.0,0.632,7.9908e+33
1.0,0.633,1.80963e+34
1.0,0.634,4.02396e+34
1.0,0.635,8.79668e+34
1.0,0.636,1.89313e+35
1.0,0.637,4.01494e+35
1.0,0.638,8.39949e+35
1.0,0.639,1.73521e+36
1.0,0.64,3.5421299999999996e+36
1.0,0.641,7.150739999999999e+36
1.0,0.642,1.42859e+37
1.0,0.643,2.82623e+37
1.0,0.644,5.539860000000001e+37
1.0,0.645,1.07648e+38
1.0,0.646,2.0745800000000002e+38
1.0,0.647,3.96748e+38
1.0,0.648,7.5321e+38
1.0,0.649,1.41992e+39
1.0,0.65,2.65935e+39
1.0,0.651,4.9493e+39
1.0,0.652,9.156490000000001e+39
1.0,0.653,1.68429e+40
1.0,0.654,3.0818300000000004e+40
1.0,0.655,5.6095e+40
1.0,0.656,1.01604e+41
1.0,0.657,1.83174e+41
1.0,0.658,3.28731e+41
1.0,0.659,5.874500000000001e+41
1.0,0.66,1.04544e+42
1.0,0.661,1.85302e+42
1.0,0.662,3.2724100000000003e+42
1.0,0.663,5.75758e+42
1.0,0.664,1.0094400000000001e+43
1.0,0.665,1.76384e+43
1.0,0.666,3.0721500000000003e+43
1.0,0.667,5.33426e+43
1.0,0.668,9.23384e+43
1.0,0.669,1.5938100000000001e+44
1.0,0.67,2.7433100000000002e+44
1.0,0.671,4.7091500000000005e+44
1.0,0.672,8.06248e+44
1.0,0.673,1.3768400000000001e+45
1.0,0.674,2.3457100000000002e+45
1.0,0.675,3.98673e+45
1.0,0.676,6.76037e+45
1.0,0.677,1.14382e+46
1.0,0.678,1.93114e+46
1.0,0.679,3.25365e+46
1.0,0.68,5.470770000000001e+46
1.0,0.681,9.18061e+46
1.0,0.682,1.5376900000000001e+47
1.0,0.683,2.57068e+47
1.0,0.684,4.29024e+47
1.0,0.685,7.14716e+47
1.0,0.686,1.18866e+48
1.0,0.687,1.9736e+48
1.0,0.688,3.27162e+48
1.0,0.689,5.4146e+48
1.0,0.69,8.94821e+48
1.0,0.691,1.4765500000000002e+49
1.0,0.692,2.43283e+49
1.0,0.693,4.0031400000000003e+49
1.0,0.694,6.57748e+49
1.0,0.695,1.07931e+50
1.0,0.696,1.76868e+50
1.0,0.697,2.8946e+50
1.0,0.698,4.73133e+50
1.0,0.699,7.72416e+50
1.0,0.7,1.2595200000000001e+51
1.0,0.701,2.05142e+51
1.0,0.702,3.33741e+51
1.0,0.703,5.42341e+51
1.0,0.704,8.80334e+51
1.0,0.705,1.4274400000000001e+52
1.0,0.706,2.3120800000000002e+52
1.0,0.707,3.7408700000000005e+52
1.0,0.708,6.04741e+52
1.0,0.709,9.76555e+52
1.0,0.71,1.57541e+53
1.0,0.711,2.53917e+53
1.0,0.712,4.08866e+53
1.0,0.713,6.577240000000001e+53
1.0,0.714,1.05722e+54
1.0,0.715,1.6977300000000002e+54
1.0,0.716,2.7239500000000003e+54
1.0,0.717,4.36681e+54
1.0,0.718,6.9944e+54
1.0,0.719,1.11942e+55
1.0,0.72,1.79009e+55
1.0,0.721,2.8602700000000003e+55
1.0,0.722,4.5667800000000005e+55
1.0,0.723,7.28504e+55
1.0,0.724,1.16146e+56
1.0,0.725,1.85015e+56
1.0,0.726,2.9449500000000002e+56
1.0,0.727,4.68455e+56
1.0,0.728,7.44615e+56
1.0,0.729,1.18265e+57
1.0,0.73,1.87738e+57
1.0,0.731,2.9779000000000002e+57
1.0,0.732,4.7203300000000004e+57
1.0,0.733,7.4771e+57
1.0,0.734,1.18376e+58
1.0,0.735,1.87275e+58
1.0,0.736,2.96094e+58
1.0,0.737,4.6783599999999997e+58
1.0,0.738,7.387000000000001e+58
1.0,0.739,1.16581e+59
1.0,0.74,1.83875e+59
1.0,0.741,2.8983400000000002e+59
1.0,0.742,4.56573e+59
1.0,0.743,7.18826e+59
1.0,0.744,1.1310900000000001e+60
1.0,0.745,1.77878e+60
1.0,0.746,2.79577e+60
1.0,0.747,4.3917900000000005e+60
1.0,0.748,6.89518e+60
1.0,0.749,1.08197e+61
1.0,0.75,1.69691e+61
1.0,0.751,2.6599500000000003e+61
1.0,0.752,4.1673900000000004e+61
1.0,0.753,6.52579e+61
1.0,0.754,1.02136e+62
1.0,0.755,1.59775e+62
1.0,0.756,2.49814e+62
1.0,0.757,3.9039700000000005e+62
1.0,0.758,6.09822e+62
1.0,0.759,9.52107e+62
1.0,0.76,1.48577e+63
1.0,0.761,2.3174100000000003e+63
1.0,0.762,3.61275e+63
1.0,0.763,5.6303400000000005e+63
1.0,0.764,8.77035e+63
1.0,0.765,1.36548e+64
1.0,0.766,2.125e+64
1.0,0.767,3.30554e+64
1.0,0.768,5.1393000000000003e+64
1.0,0.769,7.987470000000001e+64
1.0,0.77,1.2409300000000002e+65
1.0,0.771,1.9269300000000002e+65
1.0,0.772,2.99103e+65
1.0,0.773,4.64037e+65
1.0,0.774,7.196850000000001e+65
1.0,0.775,1.11574e+66
1.0,0.776,1.72896e+66
1.0,0.777,2.6780400000000005e+66
1.0,0.778,4.1464500000000005e+66
1.0,0.779,6.418050000000001e+66
1.0,0.78,9.92956e+66
1.0,0.781,1.53554e+67
1.0,0.782,2.37388e+67
1.0,0.783,3.66846e+67
1.0,0.784,5.66684e+67
1.0,0.785,8.74964e+67
1.0,0.786,1.3506800000000002e+68
1.0,0.787,2.08408e+68
1.0,0.788,3.21409e+68
1.0,0.789,4.956230000000001e+68
1.0,0.79,7.638920000000001e+68
1.0,0.791,1.1767900000000002e+69
1.0,0.792,1.8126600000000003e+69
1.0,0.793,2.7907900000000004e+69
1.0,0.794,4.294670000000001e+69
1.0,0.795,6.608130000000001e+69
1.0,0.796,1.0163100000000002e+70
1.0,0.797,1.5624300000000002e+70
1.0,0.798,2.4013600000000005e+70
1.0,0.799,3.6892800000000005e+70
10.0,0.1,9.16571
10.0,0.101,9.188989999999999
10.0,0.102,9.21237
10.0,0.103,9.23584
10.0,0.104,9.25941
10.0,0.105,9.28307
10.0,0.106,9.30682
10.0,0.107,9.33067
10.0,0.108,9.354610000000001
10.0,0.109,9.37865
10.0,0.11,9.40278
10.0,0.111,9.427019999999999
10.0,0.112,9.45135
10.0,0.113,9.475769999999999
10.0,0.114,9.5003
10.0,0.115,9.52493
10.0,0.116,9.54965
10.0,0.117,9.57448
10.0,0.118,9.59941
10.0,0.119,9.62444
10.0,0.12,9.649569999999999
10.0,0.121,9.67481
10.0,0.122,9.70015
10.0,0.123,9.7256
10.0,0.124,9.75115
10.0,0.125,9.7768
10.0,0.126,9.80256
10.0,0.127,9.82843
10.0,0.128,9.854410000000001
10.0,0.129,9.88049
10.0,0.13,9.90669
10.0,0.131,9.93299
10.0,0.132,9.95941
10.0,0.133,9.98593
10.0,0.134,10.0126
10.0,0.135,10.0393
10.0,0.136,10.0662
10.0,0.137,10.0932
10.0,0.138,10.1203
10.0,0.139,10.1475
10.0,0.14,10.1748
10.0,0.141,10.2022
10.0,0.142,10.2298
10.0,0.143,10.2575
10.0,0.144,10.2853
10.0,0.145,10.3132
10.0,0.146,10.3412
10.0,0.147,10.3694
10.0,0.148,10.3977
10.0,0.149,10.4261
10.0,0.15,10.4546
10.0,0.151,10.4832
10.0,0.152,10.512
10.0,0.153,10.5409
10.0,0.154,10.57
10.0,0.155,10.5991
10.0,0.156,10.6284
10.0,0.157,10.6578
10.0,0.158,10.6874
10.0,0.159,10.7171
10.0,0.16,10.7469
10.0,0.161,10.7768
10.0,0.162,10.8069
10.0,0.163,10.8371
10.0,0.164,10.8675
10.0,0.165,10.898
10.0,0.166,10.9286
10.0,0.167,10.9593
10.0,0.168,10.9903
10.0,0.169,11.0213
10.0,0.17,11.0525
10.0,0.171,11.0838
10.0,0.172,11.1153
10.0,0.173,11.1469
10.0,0.174,11.1787
10.0,0.175,11.2106
10.0,0.176,11.2426
10.0,0.177,11.2748
10.0,0.178,11.3072
10.0,0.179,11.3397
10.0,0.18,11.3724
10.0,0.181,11.4052
10.0,0.182,11.4381
10.0,0.183,11.4713
10.0,0.184,11.5045
10.0,0.185,11.538
10.0,0.186,11.5716
10.0,0.187,11.6053
10.0,0.188,11.6392
10.0,0.189,11.6733
10.0,0.19,11.7075
10.0,0.191,11.7419
10.0,0.192,11.7765
10.0,0.193,11.8112
10.0,0.194,11.8461
10.0,0.195,11.8812
10.0,0.196,11.9165
10.0,0.197,11.9519
10.0,0.198,11.9874
10.0,0.199,12.0232
10.0,0.2,12.0591
10.0,0.201,12.0952
10.0,0.202,12.1315
10.0,0.203,12.168
10.0,0.204,12.2046
10.0,0.205,12.2415
10.0,0.206,12.2785
10.0,0.207,12.3157
10.0,0.208,12.353
10.0,0.209,12.3906
10.0,0.21,12.4284
10.0,0.211,12.4663
10.0,0.212,12.5044
10.0,0.213,12.5428
10.0,0.214,12.5813
10.0,0.215,12.62
10.0,0.216,12.6589
10.0,0.217,12.698
10.0,0.218,12.7374
10.0,0.219,12.7769
10.0,0.22,12.8166
10.0,0.221,12.8565
10.0,0.222,12.8966
10.0,0.223,12.937000000000001
10.0,0.224,12.9775
10.0,0.225,13.0183
10.0,0.226,13.0593
10.0,0.227,13.1005
10.0,0.228,13.1419
10.0,0.229,13.1835
10.0,0.23,13.2253
10.0,0.231,13.2674
10.0,0.232,13.3097
10.0,0.233,13.3522
10.0,0.234,13.3949
10.0,0.235,13.4379
10.0,0.236,13.4811
10.0,0.237,13.5245
10.0,0.238,13.5682
10.0,0.239,13.6121
10.0,0.24,13.6562
10.0,0.241,13.7006
10.0,0.242,13.7452
10.0,0.243,13.7901
10.0,0.244,13.8352
10.0,0.245,13.8806
10.0,0.246,13.9262
10.0,0.247,13.9721
10.0,0.248,14.0182
10.0,0.249,14.0645
10.0,0.25,14.1112
10.0,0.251,14.1581
10.0,0.252,14.2052
10.0,0.253,14.2527
10.0,0.254,14.3003
10.0,0.255,14.3483
10.0,0.256,14.3965
10.0,0.257,14.445
10.0,0.258,14.4938
10.0,0.259,14.5429
10.0,0.26,14.5922
10.0,0.261,14.6418
10.0,0.262,14.6917
10.0,0.263,14.7419
10.0,0.264,14.7924
10.0,0.265,14.8432
10.0,0.266,14.8943
10.0,0.267,14.9457
10.0,0.268,14.9974
10.0,0.269,15.0493
10.0,0.27,15.1016
10.0,0.271,15.1542
10.0,0.272,15.2072
10.0,0.273,15.2604
10.0,0.274,15.3139
10.0,0.275,15.3678
10.0,0.276,15.422
10.0,0.277,15.4765
10.0,0.278,15.5314
10.0,0.279,15.5865
10.0,0.28,15.6421
10.0,0.281,15.6979
10.0,0.282,15.7541
10.0,0.283,15.8107
10.0,0.284,15.8675
10.0,0.285,15.9248
10.0,0.286,15.9824
10.0,0.287,16.0403
10.0,0.288,16.0986
10.0,0.289,16.1573
10.0,0.29,16.2164
10.0,0.291,16.2758
10.0,0.292,16.3356
10.0,0.293,16.3958
10.0,0.294,16.4563
10.0,0.295,16.5173
10.0,0.296,16.5786
10.0,0.297,16.6403
10.0,0.298,16.7024
10.0,0.299,16.765
10.0,0.3,16.8279
10.0,0.301,16.8912
10.0,0.302,16.955
10.0,0.303,17.0191
10.0,0.304,17.0837
10.0,0.305,17.1487
10.0,0.306,17.2142
10.0,0.307,17.28
10.0,0.308,17.3464
10.0,0.309,17.4131
10.0,0.31,17.4803
10.0,0.311,17.548
10.0,0.312,17.6161
10.0,0.313,17.6846
10.0,0.314,17.7537
10.0,0.315,17.8232
10.0,0.316,17.8931
10.0,0.317,17.9636
10.0,0.318,18.0345
10.0,0.319,18.105999999999998
10.0,0.32,18.1779
10.0,0.321,18.2503
10.0,0.322,18.3233
10.0,0.323,18.3967
10.0,0.324,18.4706
10.0,0.325,18.5451
10.0,0.326,18.6201
10.0,0.327,18.6957
10.0,0.328,18.7717
10.0,0.329,18.8483
10.0,0.33,18.9255
10.0,0.331,19.0032
10.0,0.332,19.0815
10.0,0.333,19.1604
10.0,0.334,19.2398
10.0,0.335,19.3198
10.0,0.336,19.4004
10.0,0.337,19.4816
10.0,0.338,19.5633
10.0,0.339,19.6457
10.0,0.34,19.7287
10.0,0.341,19.8123
10.0,0.342,19.8966
10.0,0.343,19.9815
10.0,0.344,20.067
10.0,0.345,20.1531
10.0,0.346,20.24
10.0,0.347,20.3275
10.0,0.348,20.4156
10.0,0.349,20.5044
10.0,0.35,20.594
10.0,0.351,20.6842
10.0,0.352,20.7751
10.0,0.353,20.8667
10.0,0.354,20.9591
10.0,0.355,21.0521
10.0,0.356,21.1459
10.0,0.357,21.2405
10.0,0.358,21.3358
10.0,0.359,21.4319
10.0,0.36,21.5287
10.0,0.361,21.6263
10.0,0.362,21.7247
10.0,0.363,21.8239
10.0,0.364,21.924
10.0,0.365,22.0248
10.0,0.366,22.1265
10.0,0.367,22.229
10.0,0.368,22.3323
10.0,0.369,22.4366
10.0,0.37,22.5417
10.0,0.371,22.6476
10.0,0.372,22.7545
10.0,0.373,22.8623
10.0,0.374,22.971
10.0,0.375,23.0806
10.0,0.376,23.1912
10.0,0.377,23.3027
10.0,0.378,23.4152
10.0,0.379,23.5286
10.0,0.38,23.6431
10.0,0.381,23.7585
10.0,0.382,23.875
10.0,0.383,23.9925
10.0,0.384,24.1111
10.0,0.385,24.2307
10.0,0.386,24.3513
10.0,0.387,24.4731
10.0,0.388,24.596
10.0,0.389,24.7199
10.0,0.39,24.8451
10.0,0.391,24.9713
10.0,0.392,25.0988
10.0,0.393,25.2274
10.0,0.394,25.3572
10.0,0.395,25.4882
10.0,0.396,25.6204
10.0,0.397,25.7539
10.0,0.398,25.8887
10.0,0.399,26.0247
10.0,0.4,26.162
10.0,0.401,26.3007
10.0,0.402,26.4407
10.0,0.403,26.5821
10.0,0.404,26.7248
10.0,0.405,26.8689
10.0,0.406,27.0145
10.0,0.407,27.1615
10.0,0.408,27.31
10.0,0.409,27.4599
10.0,0.41,27.6114
10.0,0.411,27.7643
10.0,0.412,27.9189
10.0,0.413,28.075
10.0,0.414,28.2327
10.0,0.415,28.392
10.0,0.416,28.553
10.0,0.417,28.7157
10.0,0.418,28.88
10.0,0.419,29.0461
10.0,0.42,29.214000000000002
10.0,0.421,29.3836
10.0,0.422,29.5551
10.0,0.423,29.7283
10.0,0.424,29.9035
10.0,0.425,30.0806
10.0,0.426,30.2596
10.0,0.427,30.4405
10.0,0.428,30.6235
10.0,0.429,30.8085
10.0,0.43,30.9956
10.0,0.431,31.1847
10.0,0.432,31.375999999999998
10.0,0.433,31.5695
10.0,0.434,31.7652
10.0,0.435,31.9631
10.0,0.436,32.1633
10.0,0.437,32.3659
10.0,0.438,32.5708
10.0,0.439,32.7781
10.0,0.44,32.9879
10.0,0.441,33.2002
10.0,0.442,33.415
10.0,0.443,33.6324
10.0,0.444,33.8524
10.0,0.445,34.0751
10.0,0.446,34.3006
10.0,0.447,34.5288
10.0,0.448,34.7598
10.0,0.449,34.9938
10.0,0.45,35.2307
10.0,0.451,35.4706
10.0,0.452,35.7135
10.0,0.453,35.9595
10.0,0.454,36.2088
10.0,0.455,36.4612
10.0,0.456,36.717
10.0,0.457,36.9761
10.0,0.458,37.2386
10.0,0.459,37.5047
10.0,0.46,37.7743
10.0,0.461,38.0475
10.0,0.462,38.3245
10.0,0.463,38.6053
10.0,0.464,38.8899
10.0,0.465,39.1785
10.0,0.466,39.4711
10.0,0.467,39.7678
10.0,0.468,40.0687
10.0,0.469,40.374
10.0,0.47,40.6836
10.0,0.471,40.9977
10.0,0.472,41.3164
10.0,0.473,41.6397
10.0,0.474,41.9679
10.0,0.475,42.3009
10.0,0.476,42.638999999999996
10.0,0.477,42.9822
10.0,0.478,43.3306
10.0,0.479,43.6843
10.0,0.48,44.0436
10.0,0.481,44.4084
10.0,0.482,44.778999999999996
10.0,0.483,45.1554
10.0,0.484,45.5379
10.0,0.485,45.9266
10.0,0.486,46.3215
10.0,0.487,46.7229
10.0,0.488,47.131
10.0,0.489,47.5458
10.0,0.49,47.9676
10.0,0.491,48.3966
10.0,0.492,48.8329
10.0,0.493,49.2766
10.0,0.494,49.7281
10.0,0.495,50.1876
10.0,0.496,50.6551
10.0,0.497,51.131
10.0,0.498,51.6154
10.0,0.499,52.1086
10.0,0.5,52.6109
10.0,0.501,53.1225
10.0,0.502,53.6436
10.0,0.503,54.1745
10.0,0.504,54.7155
10.0,0.505,55.266999999999996
10.0,0.506,55.8291
10.0,0.507,56.4022
10.0,0.508,56.9867
10.0,0.509,57.5828
10.0,0.51,58.191
10.0,0.511,58.8115
10.0,0.512,59.4449
10.0,0.513,60.0914
10.0,0.514,60.7515
10.0,0.515,61.4256
10.0,0.516,62.1142
10.0,0.517,62.8178
10.0,0.518,63.5368
10.0,0.519,64.2717
10.0,0.52,65.0232
10.0,0.521,65.7917
10.0,0.522,66.5778
10.0,0.523,67.3822
10.0,0.524,68.2055
10.0,0.525,69.0483
10.0,0.526,69.9114
10.0,0.527,70.7956
10.0,0.528,71.7015
10.0,0.529,72.6301
10.0,0.53,73.5821
10.0,0.531,74.5585
10.0,0.532,75.5602
10.0,0.533,76.5882
10.0,0.534,77.6436
10.0,0.535,78.7274
10.0,0.536,79.8409
10.0,0.537,80.9853
10.0,0.538,82.1618
10.0,0.539,83.3719
10.0,0.54,84.617
10.0,0.541,85.8986
10.0,0.542,87.2184
10.0,0.543,3.49604e+18
10.0,0.544,1.00923e+20
10.0,0.545,7.32558e+20
10.0,0.546,3.21682e+21
10.0,0.547,1.08822e+22
10.0,0.548,3.13931e+22
10.0,0.549,8.13605e+22
10.0,0.55,1.95277e+23
10.0,0.551,4.42442e+23
10.0,0.552,9.5862e+23
10.0,0.553,2.00413e+24
10.0,0.554,4.06957e+24
10.0,0.555,8.0665e+24
10.0,0.556,1.56666e+25
10.0,0.557,2.99026e+25
10.0,0.558,5.6225e+25
10.0,0.559,1.04348e+26
10.0,0.56,1.9144e+26
10.0,0.561,3.47697e+26
10.0,0.562,6.25779e+26
10.0,0.563,1.11715e+27
10.0,0.564,1.97987e+27
10.0,0.565,3.48563e+27
10.0,0.566,6.09971e+27
10.0,0.567,1.06156e+28
10.0,0.568,1.83817e+28
10.0,0.569,3.16823e+28
10.0,0.57,5.43716e+28
10.0,0.571,9.29393e+28
10.0,0.572,1.58282e+29
10.0,0.573,2.68645e+29
10.0,0.574,4.54498e+29
10.0,0.575,7.66606e+29
10.0,0.576,1.28938e+30
10.0,0.577,2.16298e+30
10.0,0.578,3.61937e+30
10.0,0.579,6.04189e+30
10.0,0.58,1.00642e+31
10.0,0.581,1.67285e+31
10.0,0.582,2.77499e+31
10.0,0.583,4.59452e+31
10.0,0.584,7.59339e+31
10.0,0.585,1.2528e+32
10.0,0.586,2.06348e+32
10.0,0.587,3.39355e+32
10.0,0.588,5.57256e+32
10.0,0.589,9.13745e+32
10.0,0.59,1.49619e+33
10.0,0.591,2.44674e+33
10.0,0.592,3.99586e+33
10.0,0.593,6.51828e+33
10.0,0.594,1.06198e+34
10.0,0.595,1.72835e+34
10.0,0.596,2.80965e+34
10.0,0.597,4.56258e+34
10.0,0.598,7.40169e+34
10.0,0.599,1.19955e+35
10.0,0.6,1.94208e+35
10.0,0.601,3.14159e+35
10.0,0.602,5.07712e+35
10.0,0.603,8.19804e+35
10.0,0.604,1.32259e+36
10.0,0.605,2.13194e+36
10.0,0.606,3.43386e+36
10.0,0.607,5.52664e+36
10.0,0.608,8.888000000000001e+36
10.0,0.609,1.42831e+37
10.0,0.61,2.29362e+37
10.0,0.611,3.6805600000000004e+37
10.0,0.612,5.90209e+37
10.0,0.613,9.45806e+37
10.0,0.614,1.5146400000000002e+38
10.0,0.615,2.424e+38
10.0,0.616,3.87695e+38
10.0,0.617,6.19713e+38
10.0,0.618,9.899720000000001e+38
10.0,0.619,1.58048e+39
10.0,0.62,2.5217700000000002e+39
10.0,0.621,4.02137e+39
10.0,0.622,6.4089e+39
10.0,0.623,1.0208900000000001e+40
10.0,0.624,1.62532e+40
10.0,0.625,2.58617e+40
10.0,0.626,4.11291e+40
