Phi,k,N_equilibrium
0.1,0.324,0.18470599999999998
0.1,0.325,0.185451
0.1,0.326,0.186201
0.1,0.327,0.18695699999999998
0.1,0.328,0.187717
0.1,0.329,0.18848299999999998
0.1,0.33,0.189255
0.1,0.331,0.190032
0.1,0.332,0.190815
0.1,0.333,0.191604
0.1,0.334,0.192398
0.1,0.335,0.193198
0.1,0.336,0.194004
0.1,0.337,0.19481600000000002
0.1,0.338,0.195633
0.1,0.339,0.196457
0.1,0.34,0.197287
0.1,0.341,0.198123
0.1,0.342,0.198966
0.1,0.343,0.19981500000000002
0.1,0.344,0.20067000000000002
0.1,0.345,0.201531
0.1,0.346,0.2024
0.1,0.347,0.203275
0.1,0.348,0.204156
0.1,0.349,0.205044
0.1,0.35,0.20594
0.1,0.351,0.206842
0.1,0.352,0.20775100000000002
0.1,0.353,0.20866700000000002
0.1,0.354,0.20959099999999997
0.1,0.355,0.210521
0.1,0.356,0.211459
0.1,0.357,0.212405
0.1,0.358,0.213358
0.1,0.359,0.214319
0.1,0.36,0.21528699999999998
0.1,0.361,0.216263
0.1,0.362,0.21724699999999997
0.1,0.363,0.218239
0.1,0.364,0.21924000000000002
0.1,0.365,0.220248
0.1,0.366,0.22126500000000002
0.1,0.367,0.22229000000000002
0.1,0.368,0.223323
0.1,0.369,0.22436599999999998
0.1,0.37,0.225417
0.1,0.371,0.226476
0.1,0.372,0.22754499999999997
0.1,0.373,0.228623
0.1,0.374,0.22971
0.1,0.375,0.23080599999999998
0.1,0.376,0.23191199999999998
0.1,0.377,0.233027
0.1,0.378,0.234152
0.1,0.379,0.23528600000000002
0.1,0.38,0.236431
0.1,0.381,0.237585
0.1,0.382,0.23875
0.1,0.383,0.239925
0.1,0.384,0.24111100000000002
0.1,0.385,0.24230700000000002
0.1,0.386,0.243513
0.1,0.387,0.244731
0.1,0.388,0.24595999999999998
0.1,0.389,0.24719899999999997
0.1,0.39,0.24845100000000003
0.1,0.391,0.24971300000000002
0.1,0.392,0.250988
0.1,0.393,0.252274
0.1,0.394,0.25357199999999996
0.1,0.395,0.254882
0.1,0.396,0.256204
0.1,0.397,0.25753899999999996
0.1,0.398,0.258887
0.1,0.399,0.260247
0.1,0.4,0.26161999999999996
0.1,0.401,0.263007
0.1,0.402,0.264407
0.1,0.403,0.26582100000000003
0.1,0.404,0.267248
0.1,0.405,0.268689
0.1,0.406,0.27014499999999997
0.1,0.407,0.271615
0.1,0.408,0.2731
0.1,0.409,0.274599
0.1,0.41,0.27611399999999997
0.1,0.411,0.277643
0.1,0.412,0.27918899999999996
0.1,0.413,0.28075
0.1,0.414,0.282327
0.1,0.415,0.28392
0.1,0.416,0.28553
0.1,0.417,0.287157
0.1,0.418,0.2888
0.1,0.419,0.290461
0.1,0.42,0.29214
0.1,0.421,0.293836
0.1,0.422,0.295551
0.1,0.423,0.297283
0.1,0.424,0.299035
0.1,0.425,0.300806
0.1,0.426,0.302596
0.1,0.427,0.30440500000000004
0.1,0.428,0.306235
0.1,0.429,0.308085
0.1,0.43,0.309956
0.1,0.431,0.311847
0.1,0.432,0.31376
0.1,0.433,0.315695
0.1,0.434,0.317652
0.1,0.435,0.319631
0.1,0.436,0.321633
0.1,0.437,0.32365900000000003
0.1,0.438,0.325708
0.1,0.439,0.327781
0.1,0.44,0.329879
0.1,0.441,0.332002
0.1,0.442,0.33415
0.1,0.443,0.33632399999999996
0.1,0.444,0.338524
0.1,0.445,0.340751
0.1,0.446,0.343006
0.1,0.447,0.345288
0.1,0.448,0.347598
0.1,0.449,0.349938
0.1,0.45,0.35230700000000004
0.1,0.451,0.354706
0.1,0.452,0.357135
0.1,0.453,0.359595
0.1,0.454,0.362088
0.1,0.455,0.364612
0.1,0.456,0.36717
0.1,0.457,0.369761
0.1,0.458,0.372386
0.1,0.459,0.37504699999999996
0.1,0.46,0.377743
0.1,0.461,0.380475
0.1,0.462,0.383245
0.1,0.463,0.38605300000000004
0.1,0.464,0.388899
0.1,0.465,0.391785
0.1,0.466,0.39471100000000003
0.1,0.467,0.39767800000000003
0.1,0.468,0.400687
0.1,0.469,0.40374
0.1,0.47,0.40683600000000003
0.1,0.471,0.40997700000000004
0.1,0.472,0.41316400000000003
0.1,0.473,0.416397
0.1,0.474,0.41967899999999997
0.1,0.475,0.423009
0.1,0.476,0.42639
0.1,0.477,0.42982200000000004
0.1,0.478,0.433306
0.1,0.479,0.43684300000000004
0.1,0.48,0.440436
0.1,0.481,0.44408400000000003
0.1,0.482,0.44778999999999997
0.1,0.483,0.451554
0.1,0.484,0.455379
0.1,0.485,0.459266
0.1,0.486,0.463215
0.1,0.487,0.467229
0.1,0.488,0.47131000000000006
0.1,0.489,0.475458
0.1,0.49,0.47967600000000005
0.1,0.491,0.483966
0.1,0.492,0.488329
0.1,0.493,0.492766
0.1,0.494,0.49728100000000003
0.1,0.495,0.501876
0.1,0.496,0.506551
0.1,0.497,0.51131
0.1,0.498,0.516154
0.1,0.499,0.5210859999999999
0.1,0.5,0.526109
0.1,0.501,0.531225
0.1,0.502,0.5364359999999999
0.1,0.503,0.541745
0.1,0.504,0.5471550000000001
0.1,0.505,0.55267
0.1,0.506,0.558291
0.1,0.507,0.564022
0.1,0.508,0.569867
0.1,0.509,0.575828
0.1,0.51,0.58191
0.1,0.511,0.5881149999999999
0.1,0.512,0.594449
0.1,0.513,0.6009140000000001
0.1,0.514,0.6075149999999999
0.1,0.515,0.614256
0.1,0.516,0.621142
0.1,0.517,0.628178
0.1,0.518,0.635368
0.1,0.519,0.642717
0.1,0.52,0.6502319999999999
0.1,0.521,0.657917
0.1,0.522,0.665778
0.1,0.523,0.673822
0.1,0.524,0.682055
0.1,0.525,0.690483
0.1,0.526,0.699114
0.1,0.527,0.707956
0.1,0.528,0.717015
0.1,0.529,0.726301
0.1,0.53,0.7358210000000001
0.1,0.531,0.745585
0.1,0.532,0.755602
0.1,0.533,0.765882
0.1,0.534,0.776436
0.1,0.535,0.787274
0.1,0.536,0.798409
0.1,0.537,0.8098529999999999
0.1,0.538,0.8216180000000001
0.1,0.539,0.8337190000000001
0.1,0.54,0.8461700000000001
0.1,0.541,0.858986
0.1,0.542,0.872184
0.1,0.543,0.8857809999999999
0.1,0.544,0.8997959999999999
0.1,0.545,0.914248
0.1,0.546,0.929157
0.1,0.547,0.9445469999999999
0.1,0.548,0.96044
0.1,0.549,0.9768610000000001
0.1,0.55,0.9938379999999999
0.1,0.551,1.0114
0.1,0.552,1.02957
0.1,0.553,1.0484
0.1,0.554,1.0679
0.1,0.555,1.0881299999999998
0.1,0.556,1.10912
0.1,0.557,1.13091
0.1,0.558,1.15355
0.1,0.559,1.1771
0.1,0.56,1.20161
0.1,0.561,1.2271299999999998
0.1,0.562,1.2537399999999999
0.1,0.563,1.2815
0.1,0.564,1.31049
0.1,0.565,1.3408
0.1,0.566,1.3725100000000001
0.1,0.567,1.40572
0.1,0.568,1.44055
0.1,0.569,1.4771100000000001
0.1,0.57,1.5155399999999999
0.1,0.571,1.55598
0.1,0.572,1.5986
0.1,0.573,1.6435799999999998
0.1,0.574,1.6911200000000002
0.1,0.575,1.74143
0.1,0.576,1.7947799999999998
0.1,0.577,1.85143
0.1,0.578,1.91172
0.1,0.579,1.9759900000000001
0.1,0.58,2.04465
0.1,0.581,2.11816
0.1,0.582,2.1970400000000003
0.1,0.583,2.2819
0.1,0.584,2.37343
0.1,0.585,2.47242
0.1,0.586,2.5798
0.1,0.587,2.69665
0.1,0.588,2.82422
0.1,0.589,2.96398
0.1,0.59,3.11768
0.1,0.591,3.28736
0.1,0.592,3.4754699999999996
0.1,0.593,3.6849300000000005
0.1,0.594,3.9192099999999996
0.1,0.595,4.18254
0.1,0.596,4.47998
0.1,0.597,4.81769
0.1,0.598,5.2032
0.1,0.599,5.6456800000000005
0.1,0.6,6.15642
0.1,0.601,6.74932
0.1,0.602,7.44158
0.1,0.603,8.25457
0.1,0.604,9.21487
0.1,0.605,10.3557
0.1,0.606,11.7188
0.1,0.607,13.3566
0.1,0.608,15.3349
0.1,0.609,17.7374
0.1,0.61,20.6698
0.1,0.611,24.2666
0.1,0.612,28.6989
0.1,0.613,34.185
0.1,0.614,41.0042
0.1,0.615,49.5143
0.1,0.616,60.1746
0.1,0.617,73.5753
0.1,0.618,90.2845
0.1,0.619,972.342
0.1,0.62,219547.0
0.1,0.621,27859400.0
0.1,0.622,2059410000.0
0.1,0.623,97751200000.0
0.1,0.624,3211950000000.0
0.1,0.625,77471800000000.0
0.1,0.626,1437230000000000.0
0.1,0.627,2.12896e+16
