,Phi,k,N_equilibrium
1840,0.3,0.26,0.437766
1841,0.5,0.26,0.729611
1842,0.7,0.26,1.02145
1843,0.9,0.26,1.3133
1844,1.1,0.26,1.60514
1845,5.3,0.35,10.9148
1846,5.5,0.35,11.3267
1847,5.7,0.35,11.7386
1848,5.9,0.35,12.1504
1849,6.1,0.35,12.5623
1850,6.3,0.35,12.9742
1851,6.5,0.35,13.3861
1852,6.7,0.35,13.798
1853,6.9,0.35,14.2098
1854,7.1,0.35,14.6217
1855,7.3,0.35,15.0336
1856,7.5,0.35,15.4455
1857,7.7,0.35,15.8573
1858,7.9,0.35,16.2692
1859,8.1,0.35,16.6811
1860,4.9,0.07,4.16861
1861,5.1,0.07,4.33876
1862,5.3,0.07,4.5089
1863,5.5,0.07,4.67905
1864,5.7,0.07,4.8492
1865,5.9,0.07,5.019340000000001
1866,6.1,0.07,5.18949
1867,6.3,0.07,5.35964
1868,6.5,0.07,5.52979
1869,6.7,0.07,5.69993
1870,6.9,0.07,5.870080000000001
1871,7.1,0.07,6.04023
1872,7.3,0.07,6.210380000000001
1873,7.5,0.07,6.38052
1874,7.7,0.07,6.550669999999999
1875,6.3,0.725,1.41374e+59
1876,6.5,0.725,1.56403e+59
1877,6.7,0.725,1.72396e+59
1878,6.9,0.725,1.89389e+59
1879,7.1,0.725,2.07393e+59
1880,7.3,0.725,2.2642e+59
1881,7.5,0.725,2.4650800000000004e+59
1882,7.7,0.725,2.6764e+59
1883,7.9,0.725,2.8986e+59
1884,8.1,0.725,3.1313500000000002e+59
1885,8.3,0.725,3.37573e+59
1886,8.5,0.725,3.6309300000000005e+59
1887,8.7,0.725,3.89711e+59
1888,8.9,0.725,4.17513e+59
1889,9.1,0.725,4.4644800000000005e+59
1890,8.7,0.77,8.578280000000001e+67
1891,8.9,0.77,9.12455e+67
1892,9.1,0.77,9.69017e+67
1893,9.3,0.77,1.02751e+68
1894,9.5,0.77,1.0879300000000002e+68
1895,9.7,0.77,1.1503000000000003e+68
1896,9.9,0.77,1.21465e+68
1897,0.1,0.775,1.5118900000000001e+63
1898,0.3,0.775,2.8924100000000004e+64
1899,0.5,0.775,1.3244200000000002e+65
1900,0.7,0.775,3.70471e+65
1901,0.9,0.775,8.048870000000001e+65
1902,1.1,0.775,1.4994600000000001e+66
1903,1.3,0.775,2.5177700000000002e+66
1904,1.5,0.775,3.92328e+66
1905,3.1,0.54,26.2313
1906,3.3,0.54,27.9236
1907,3.5,0.54,29.6159
1908,3.7,0.54,31.3083
1909,3.9,0.54,33.0006
1910,4.1,0.54,34.693000000000005
1911,4.3,0.54,36.3853
1912,4.5,0.54,38.0776
1913,4.7,0.54,39.77
1914,4.9,0.54,41.4623
1915,5.1,0.54,43.1547
1916,5.3,0.54,44.847
1917,5.5,0.54,46.5393
1918,5.7,0.54,48.2317
1919,5.9,0.54,49.924
1920,1.3,0.635,1.25925e+36
1921,1.5,0.635,5.05274e+36
1922,1.7,0.635,1.63758e+37
1923,1.9,0.635,4.5064e+37
1924,10.1,0.635,2.73277e+42
1925,10.3,0.635,2.9713800000000004e+42
1926,10.5,0.635,3.22281e+42
1927,2.1,0.635,1.0902e+38
1928,2.3,0.635,2.37758e+38
1929,2.5,0.635,4.76229e+38
1930,2.7,0.635,8.886050000000001e+38
1931,2.9,0.635,1.5618700000000002e+39
1932,3.1,0.635,2.60882e+39
1933,3.3,0.635,4.17051e+39
1934,3.5,0.635,6.41734e+39
1935,3.7,0.635,9.551550000000001e+39
1936,3.9,0.635,1.38037e+40
1937,4.1,0.635,1.9437000000000001e+40
1938,5.7,0.445,19.4228
1939,5.9,0.445,20.1043
1940,6.1,0.445,20.7858
1941,6.3,0.445,21.4673
1942,6.5,0.445,22.1488
1943,6.7,0.445,22.8303
1944,6.9,0.445,23.5118
1945,7.1,0.445,24.1933
1946,7.3,0.445,24.8748
1947,7.5,0.445,25.5563
1948,7.7,0.445,26.2378
1949,7.9,0.445,26.9193
1950,8.1,0.445,27.6008
1951,8.3,0.445,28.2823
1952,8.5,0.445,28.9638
1953,4.1,0.525,28.3098
1954,7.3,0.525,50.4053
1955,0.5,0.53,3.6791
1956,3.7,0.53,27.2254
1957,6.9,0.53,50.7716
1958,0.1,0.535,0.787274
1959,3.3,0.535,25.98
1960,6.5,0.535,51.1728
1961,9.7,0.535,76.3656
1962,2.9,0.54,24.5389
1963,6.1,0.54,51.6163
1964,9.3,0.54,78.6938
1965,2.5,0.545,22.8562
1966,5.7,0.545,52.1121
1967,1.5,0.26,2.18883
1968,1.7,0.26,2.48068
1969,1.9,0.26,2.77252
1970,10.1,0.26,14.7381
1971,10.3,0.26,15.03
1972,10.5,0.26,15.3218
1973,2.1,0.26,3.0643599999999998
1974,2.3,0.26,3.35621
1975,2.5,0.26,3.64805
1976,2.7,0.26,3.9399
1977,2.9,0.26,4.23174
1978,3.1,0.26,4.52359
1979,3.3,0.26,4.81543
1980,3.5,0.26,5.10727
1981,3.7,0.26,5.39912
1982,3.9,0.26,5.69096
1983,4.1,0.26,5.98281
1984,4.3,0.26,6.27465
1985,8.5,0.35,17.5049
1986,8.7,0.35,17.9167
1987,8.9,0.35,18.3286
1988,9.1,0.35,18.7405
1989,9.3,0.35,19.1524
1990,9.5,0.35,19.5643
1991,9.7,0.35,19.9761
1992,9.9,0.35,20.387999999999998
1993,0.1,0.355,0.210521
1994,0.3,0.355,0.631564
1995,0.5,0.355,1.05261
1996,0.7,0.355,1.47365
1997,0.9,0.355,1.8946900000000002
1998,1.1,0.355,2.31573
1999,1.3,0.355,2.73678
2000,8.1,0.07,6.890960000000001
2001,8.3,0.07,7.06111
2002,8.5,0.07,7.231260000000001
2003,8.7,0.07,7.40141
2004,8.9,0.07,7.57155
2005,9.1,0.07,7.7417
2006,9.3,0.07,7.91185
2007,9.5,0.07,8.08199
2008,9.7,0.07,8.252139999999999
2009,9.9,0.07,8.42229
2010,0.1,0.075,0.0861194
2011,0.3,0.075,0.258358
2012,0.5,0.075,0.430597
2013,0.7,0.075,0.6028359999999999
2014,0.9,0.075,0.775075
2015,1.9,0.775,8.144180000000001e+66
2016,10.1,0.775,1.0471200000000002e+69
2017,10.3,0.775,1.1024600000000003e+69
2018,10.5,0.775,1.1593100000000003e+69
2019,2.1,0.775,1.1079500000000001e+67
2020,2.3,0.775,1.46443e+67
2021,2.5,0.775,1.8891600000000002e+67
2022,2.7,0.775,2.3876400000000004e+67
2023,2.9,0.775,2.96525e+67
2024,3.1,0.775,3.62651e+67
2025,3.3,0.775,4.3767000000000003e+67
2026,3.5,0.775,5.21992e+67
2027,3.7,0.775,6.16012e+67
2028,3.9,0.775,7.203220000000001e+67
2029,4.1,0.775,8.3509e+67
2030,4.3,0.775,9.608760000000001e+67
2031,4.5,0.775,1.09793e+68
2032,4.7,0.775,1.2466000000000003e+68
2033,9.5,0.725,5.07768e+59
2034,9.7,0.725,5.40172e+59
2035,9.9,0.725,5.737450000000001e+59
2036,0.1,0.73,5.4914800000000005e+53
2037,0.3,0.73,2.23498e+55
2038,0.5,0.73,1.43645e+56
2039,0.7,0.73,4.9903e+56
2040,0.9,0.73,1.26943e+57
2041,1.1,0.73,2.67365e+57
2042,1.3,0.73,4.9612000000000005e+57
2043,1.5,0.73,8.40571e+57
2044,1.7,0.73,1.33001e+58
2045,1.9,0.73,1.99518e+58
2046,10.1,0.73,5.238930000000001e+60
2047,10.3,0.73,5.54428e+60
2048,10.5,0.73,5.859470000000001e+60
2049,2.1,0.73,2.86778e+58
2050,2.3,0.73,3.9802600000000003e+58
2051,6.3,0.54,53.3087
2052,6.5,0.54,55.001000000000005
2053,6.7,0.54,56.6934
2054,6.9,0.54,58.3857
2055,7.1,0.54,60.078
2056,7.3,0.54,61.7704
2057,7.5,0.54,63.4627
2058,7.7,0.54,65.1551
2059,7.9,0.54,66.8474
2060,8.1,0.54,68.5397
2061,8.3,0.54,70.2321
2062,8.5,0.54,71.9244
2063,8.7,0.54,73.6168
2064,8.9,0.54,75.3091
2065,9.1,0.54,77.0014
2066,4.5,0.635,3.60358e+40
2067,4.7,0.635,4.76637e+40
2068,4.9,0.635,6.19836e+40
2069,5.1,0.635,7.938920000000001e+40
2070,5.3,0.635,1.0027200000000001e+41
2071,5.5,0.635,1.25048e+41
2072,5.7,0.635,1.54146e+41
2073,5.9,0.635,1.8799600000000002e+41
2074,6.1,0.635,2.27031e+41
2075,6.3,0.635,2.7171000000000002e+41
2076,6.5,0.635,3.2245400000000004e+41
2077,6.7,0.635,3.79705e+41
2078,6.9,0.635,4.4390600000000006e+41
2079,7.1,0.635,5.15478e+41
2080,7.3,0.635,5.948300000000001e+41
2081,8.9,0.445,30.3269
2082,9.1,0.445,31.0084
2083,9.3,0.445,31.6899
2084,9.5,0.445,32.3714
2085,9.7,0.445,33.0529
2086,9.9,0.445,33.7344
2087,0.1,0.45,0.35230700000000004
2088,0.3,0.45,1.05692
2089,0.5,0.45,1.7615299999999998
2090,0.7,0.45,2.46615
2091,0.9,0.45,3.17076
2092,1.1,0.45,3.8753699999999998
2093,1.3,0.45,4.5799900000000004
2094,1.5,0.45,5.2846
2095,1.7,0.45,5.98921
2096,4.7,0.26,6.858339999999999
2097,4.9,0.26,7.150180000000001
2098,5.1,0.26,7.44203
2099,5.3,0.26,7.73387
2100,5.5,0.26,8.02572
2101,5.7,0.26,8.31756
2102,5.9,0.26,8.60941
2103,6.1,0.26,8.90125
2104,6.3,0.26,9.19309
2105,6.5,0.26,9.48494
2106,6.7,0.26,9.77678
2107,6.9,0.26,10.0686
2108,7.1,0.26,10.3605
2109,7.3,0.26,10.6523
2110,7.5,0.26,10.9442
2111,1.7,0.355,3.5788599999999997
2112,1.9,0.355,3.9999
2113,10.1,0.355,21.2626
2114,10.3,0.355,21.6837
2115,10.5,0.355,22.1047
2116,2.1,0.355,4.42095
2117,2.3,0.355,4.84199
2118,2.5,0.355,5.2630300000000005
2119,2.7,0.355,5.684069999999999
2120,2.9,0.355,6.105119999999999
2121,3.1,0.355,6.52616
2122,3.3,0.355,6.9472
2123,3.5,0.355,7.368239999999999
2124,3.7,0.355,7.789289999999999
2125,3.9,0.355,8.21033
2126,4.1,0.355,8.63137
2127,4.3,0.355,9.05242
2128,4.5,0.355,9.473460000000001
2129,5.1,0.775,1.58012e+68
2130,5.3,0.775,1.76549e+68
2131,5.5,0.775,1.9637400000000001e+68
2132,5.7,0.775,2.1749000000000004e+68
2133,5.9,0.775,2.3995500000000005e+68
2134,6.1,0.775,2.63747e+68
2135,6.3,0.775,2.88947e+68
2136,6.5,0.775,3.1549699999999997e+68
2137,6.7,0.775,3.43513e+68
2138,6.9,0.775,3.72924e+68
2139,7.1,0.775,4.0374499999999997e+68
2140,7.3,0.775,4.36079e+68
2141,7.5,0.775,4.69875e+68
2142,7.7,0.775,5.0513e+68
2143,7.9,0.775,5.41901e+68
2144,2.7,0.73,7.056340000000001e+58
2145,2.9,0.73,9.085730000000001e+58
2146,3.1,0.73,1.14858e+59
2147,3.3,0.73,1.42896e+59
2148,3.5,0.73,1.75287e+59
2149,3.7,0.73,2.12351e+59
2150,3.9,0.73,2.54351e+59
2151,4.1,0.73,3.0164100000000003e+59
2152,4.3,0.73,3.54465e+59
2153,4.5,0.73,4.1308500000000005e+59
2154,4.7,0.73,4.77846e+59
2155,4.9,0.73,5.48932e+59
2156,5.1,0.73,6.2659599999999994e+59
2157,5.3,0.73,7.110880000000001e+59
2158,5.5,0.73,8.02681e+59
2159,1.3,0.075,1.11955
2160,1.5,0.075,1.29179
2161,1.7,0.075,1.46403
2162,1.9,0.075,1.6362700000000001
2163,10.1,0.075,8.69806
2164,10.3,0.075,8.8703
2165,10.5,0.075,9.042539999999999
2166,2.1,0.075,1.8085099999999998
2167,2.3,0.075,1.98075
2168,2.5,0.075,2.15298
2169,2.7,0.075,2.3252200000000003
2170,2.9,0.075,2.49746
2171,3.1,0.075,2.6697
2172,3.3,0.075,2.84194
2173,3.5,0.075,3.01418
2174,3.7,0.075,3.18642
2175,3.9,0.075,3.35866
2176,4.1,0.075,3.5309
2177,7.7,0.635,7.78591e+41
2178,7.9,0.635,8.83768e+41
2179,8.1,0.635,9.98316e+41
2180,8.3,0.635,1.12263e+42
2181,8.5,0.635,1.2569700000000001e+42
2182,8.7,0.635,1.40184e+42
2183,8.9,0.635,1.55739e+42
2184,9.1,0.635,1.72404e+42
2185,9.3,0.635,1.90191e+42
2186,9.5,0.635,2.09162e+42
2187,9.7,0.635,2.2931300000000002e+42
2188,9.9,0.635,2.5067500000000002e+42
2189,0.1,0.64,3.44181e+26
2190,0.3,0.64,2.60506e+31
2191,0.5,0.64,4.51432e+33
2192,9.5,0.54,80.3861
2193,9.7,0.54,82.0785
2194,9.9,0.54,83.7708
2195,0.1,0.545,0.914248
2196,0.3,0.545,2.74274
2197,0.5,0.545,4.57124
2198,0.7,0.545,6.39974
2199,0.9,0.545,8.22823
2200,1.1,0.545,10.0567
2201,1.3,0.545,11.8852
2202,1.5,0.545,13.7137
2203,1.7,0.545,15.5422
2204,1.9,0.545,17.3707
2205,10.1,0.545,1.68114e+21
2206,10.3,0.545,5.87579e+21
2207,10.5,0.545,1.48706e+22
2208,2.1,0.545,19.1992
2209,2.3,0.545,21.0277
2210,10.1,0.45,35.583
2211,10.3,0.45,36.2876
2212,10.5,0.45,36.9922
2213,2.1,0.45,7.398439999999999
2214,2.3,0.45,8.103060000000001
2215,2.5,0.45,8.80767
2216,2.7,0.45,9.51228
2217,2.9,0.45,10.2169
2218,3.1,0.45,10.9215
2219,3.3,0.45,11.6261
2220,3.5,0.45,12.3307
2221,3.7,0.45,13.0353
2222,3.9,0.45,13.74
2223,4.1,0.45,14.4446
2224,4.3,0.45,15.1492
2225,4.5,0.45,15.8538
2226,4.7,0.45,16.5584
2227,4.9,0.45,17.262999999999998
2228,7.9,0.26,11.5278
2229,8.1,0.26,11.8197
2230,8.3,0.26,12.1115
2231,8.5,0.26,12.4034
2232,8.7,0.26,12.6952
2233,8.9,0.26,12.9871
2234,9.1,0.26,13.2789
2235,9.3,0.26,13.5708
2236,9.5,0.26,13.8626
2237,9.7,0.26,14.1544
2238,9.9,0.26,14.4463
2239,0.1,0.265,0.14843199999999998
2240,0.3,0.265,0.445297
2241,0.5,0.265,0.742161
2242,0.7,0.265,1.03903
2243,4.9,0.355,10.3155
2244,5.1,0.355,10.7366
2245,5.3,0.355,11.1576
2246,5.5,0.355,11.5787
2247,5.7,0.355,11.9997
2248,5.9,0.355,12.4208
2249,6.1,0.355,12.8418
2250,6.3,0.355,13.2628
2251,6.5,0.355,13.6839
2252,6.7,0.355,14.1049
2253,6.9,0.355,14.526
2254,7.1,0.355,14.947000000000001
2255,7.3,0.355,15.3681
2256,7.5,0.355,15.7891
2257,7.7,0.355,16.2101
2258,9.5,0.335,18.3538
2259,2.7,0.34,5.32675
2260,5.9,0.34,11.6399
2261,9.1,0.34,17.9531
2262,2.3,0.345,4.6352199999999995
2263,5.5,0.345,11.0842
2264,8.7,0.345,17.5332
2265,1.9,0.35,3.91285
2266,5.1,0.35,10.5029
2267,8.3,0.35,17.093
2268,1.5,0.355,3.15782
2269,4.7,0.355,9.8945
2270,7.9,0.355,16.6312
2271,1.1,0.36,2.36816
2272,5.9,0.73,1.00784e+60
2273,6.1,0.73,1.12184e+60
2274,6.3,0.73,1.2437400000000002e+60
2275,6.5,0.73,1.37365e+60
2276,6.7,0.73,1.51169e+60
2277,6.9,0.73,1.6583200000000003e+60
2278,7.1,0.73,1.81335e+60
2279,7.3,0.73,1.97704e+60
2280,7.5,0.73,2.14958e+60
2281,7.7,0.73,2.33099e+60
2282,7.9,0.73,2.52142e+60
2283,8.1,0.73,2.72105e+60
2284,8.3,0.73,2.92989e+60
2285,8.5,0.73,3.1480600000000003e+60
2286,8.7,0.73,3.3758400000000004e+60
2287,4.5,0.075,3.8753699999999998
2288,4.7,0.075,4.04761
2289,4.9,0.075,4.21985
2290,5.1,0.075,4.3920900000000005
2291,5.3,0.075,4.56433
2292,5.5,0.075,4.7365699999999995
2293,5.7,0.075,4.90881
2294,5.9,0.075,5.08104
2295,6.1,0.075,5.25328
2296,6.3,0.075,5.42552
2297,6.5,0.075,5.59776
2298,6.7,0.075,5.77
2299,6.9,0.075,5.94224
2300,7.1,0.075,6.11448
2301,7.3,0.075,6.28672
2302,8.3,0.775,6.199370000000001e+68
2303,8.5,0.775,6.61234e+68
2304,8.7,0.775,7.04068e+68
2305,8.9,0.775,7.484440000000001e+68
2306,9.1,0.775,7.94364e+68
2307,9.3,0.775,8.41825e+68
2308,9.5,0.775,8.90816e+68
2309,9.7,0.775,9.414140000000001e+68
2310,9.9,0.775,9.935270000000002e+68
2311,0.1,0.78,1.52161e+64
2312,0.3,0.78,2.7400600000000003e+65
2313,0.5,0.78,1.2210000000000002e+66
2314,0.7,0.78,3.35647e+66
2315,0.9,0.78,7.20107e+66
2316,1.1,0.78,1.32824e+67
2317,2.7,0.545,24.6847
2318,2.9,0.545,26.5132
2319,3.1,0.545,28.3417
2320,3.3,0.545,30.1702
2321,3.5,0.545,31.9987
2322,3.7,0.545,33.8272
2323,3.9,0.545,35.6557
2324,4.1,0.545,37.4842
2325,4.3,0.545,39.3127
2326,4.5,0.545,41.1412
2327,4.7,0.545,42.9697
2328,4.9,0.545,44.7981
2329,5.1,0.545,46.6266
2330,5.3,0.545,48.4551
2331,5.5,0.545,50.2836
2332,0.9,0.64,1.33181e+36
2333,1.1,0.64,8.46711e+36
2334,1.3,0.64,3.7729200000000004e+37
2335,1.5,0.64,1.30778e+38
2336,1.7,0.64,3.76286e+38
2337,1.9,0.64,9.383100000000001e+38
2338,10.1,0.64,2.6990100000000003e+43
2339,10.3,0.64,2.92672e+43
2340,10.5,0.64,3.16624e+43
2341,2.1,0.64,2.0895800000000002e+39
2342,2.3,0.64,4.24677e+39
2343,2.5,0.64,8.00602e+39
2344,2.7,0.64,1.4173900000000001e+40
2345,2.9,0.64,2.3795000000000003e+40
2346,3.1,0.64,3.8171e+40
2347,3.3,0.64,5.8874500000000005e+40
2348,3.5,0.64,8.77579e+40
2349,3.7,0.64,1.26948e+41
2350,5.3,0.45,18.6723
2351,5.5,0.45,19.3769
2352,5.7,0.45,20.0815
2353,5.9,0.45,20.7861
2354,6.1,0.45,21.4907
2355,6.3,0.45,22.1953
2356,6.5,0.45,22.8999
2357,6.7,0.45,23.6046
2358,6.9,0.45,24.3092
2359,7.1,0.45,25.0138
2360,7.3,0.45,25.7184
2361,7.5,0.45,26.423000000000002
2362,7.7,0.45,27.1276
2363,7.9,0.45,27.8322
2364,8.1,0.45,28.5368
2365,1.1,0.265,1.63275
2366,1.3,0.265,1.9296200000000001
2367,1.5,0.265,2.22648
2368,1.7,0.265,2.52335
2369,1.9,0.265,2.82021
2370,10.1,0.265,14.9917
2371,10.3,0.265,15.2885
2372,10.5,0.265,15.5854
2373,2.1,0.265,3.11708
2374,2.3,0.265,3.41394
2375,2.5,0.265,3.71081
2376,2.7,0.265,4.00767
2377,2.9,0.265,4.304530000000001
2378,3.1,0.265,4.6014
2379,3.3,0.265,4.89826
2380,3.5,0.265,5.195130000000001
2381,3.7,0.265,5.49199
2382,3.9,0.265,5.78886
2383,8.1,0.355,17.0522
2384,8.3,0.355,17.4733
2385,8.5,0.355,17.8943
2386,8.7,0.355,18.3154
2387,8.9,0.355,18.7364
2388,9.1,0.355,19.1574
2389,9.3,0.355,19.5785
2390,9.5,0.355,19.9995
2391,9.7,0.355,20.4206
2392,9.9,0.355,20.8416
2393,0.1,0.36,0.21528699999999998
2394,0.3,0.36,0.645861
2395,0.5,0.36,1.07643
2396,0.7,0.36,1.50701
2397,0.9,0.36,1.9375799999999999
2398,7.7,0.075,6.631189999999999
2399,7.9,0.075,6.8034300000000005
2400,8.1,0.075,6.97567
2401,8.3,0.075,7.14791
2402,8.5,0.075,7.32015
2403,8.7,0.075,7.492389999999999
2404,8.9,0.075,7.664630000000001
2405,9.1,0.075,7.836860000000001
2406,9.3,0.075,8.0091
2407,9.5,0.075,8.181339999999999
2408,9.7,0.075,8.353580000000001
2409,9.9,0.075,8.52582
2410,0.1,0.08,0.087185
2411,0.3,0.08,0.26155500000000004
2412,0.5,0.08,0.435925
2413,1.5,0.78,3.42399e+67
2414,1.7,0.78,5.01359e+67
2415,1.9,0.78,7.03091e+67
2416,10.1,0.78,8.515030000000002e+69
2417,10.3,0.78,8.960560000000002e+69
2418,10.5,0.78,9.418140000000001e+69
2419,2.1,0.78,9.522950000000001e+67
2420,2.3,0.78,1.25359e+68
2421,2.5,0.78,1.61136e+68
2422,2.7,0.78,2.0299700000000001e+68
2423,2.9,0.78,2.51317e+68
2424,3.1,0.78,3.06561e+68
2425,3.3,0.78,3.69032e+68
2426,3.5,0.78,4.39102e+68
2427,3.7,0.78,5.1708400000000005e+68
2428,3.9,0.78,6.034010000000001e+68
2429,4.1,0.78,6.982370000000001e+68
2430,4.3,0.78,8.019720000000001e+68
2431,9.1,0.73,3.85972e+60
2432,9.3,0.73,4.1159799999999996e+60
2433,9.5,0.73,4.38188e+60
2434,9.7,0.73,4.65763e+60
2435,9.9,0.73,4.9433900000000004e+60
2436,0.1,0.735,6.83509e+54
2437,0.3,0.735,2.49442e+56
2438,0.5,0.735,1.5264600000000002e+57
2439,0.7,0.735,5.14001e+57
2440,0.9,0.735,1.27812e+58
2441,1.1,0.735,2.64487e+58
2442,1.3,0.735,4.8380600000000004e+58
2443,1.5,0.735,8.09947e+58
2444,1.7,0.735,1.26848e+59
2445,1.9,0.735,1.88602e+59
2446,10.1,0.735,4.48368e+61
2447,10.3,0.735,4.7416900000000004e+61
2448,10.5,0.735,5.0078700000000005e+61
2449,5.9,0.545,53.9406
2450,6.1,0.545,55.7691
2451,6.3,0.545,57.5976
2452,6.5,0.545,59.4261
2453,6.7,0.545,61.2546
2454,6.9,0.545,63.0831
2455,7.1,0.545,64.9116
2456,7.3,0.545,66.7401
2457,7.5,0.545,68.5686
2458,7.7,0.545,70.3971
2459,7.9,0.545,72.2256
2460,8.1,0.545,74.0541
2461,8.3,0.545,75.8826
2462,8.5,0.545,77.7111
2463,8.7,0.545,79.5396
2464,4.1,0.64,2.46081e+41
2465,4.3,0.64,3.3156500000000002e+41
2466,4.5,0.64,4.3841e+41
2467,4.7,0.64,5.69888e+41
2468,4.9,0.64,7.29532e+41
2469,5.1,0.64,9.208830000000001e+41
2470,5.3,0.64,1.1478200000000001e+42
2471,5.5,0.64,1.41405e+42
2472,5.7,0.64,1.7235e+42
2473,5.9,0.64,2.08012e+42
2474,6.1,0.64,2.4878900000000002e+42
2475,6.3,0.64,2.95067e+42
2476,6.5,0.64,3.47258e+42
2477,6.7,0.64,4.05751e+42
2478,6.9,0.64,4.70916e+42
2479,8.5,0.45,29.9461
2480,8.7,0.45,30.6507
2481,8.9,0.45,31.3553
2482,9.1,0.45,32.0599
2483,9.3,0.45,32.7645
2484,9.5,0.45,33.4691
2485,9.7,0.45,34.1738
2486,9.9,0.45,34.8784
2487,0.1,0.455,0.364612
2488,0.3,0.455,1.09384
2489,0.5,0.455,1.82306
2490,0.7,0.455,2.55229
2491,0.9,0.455,3.28151
2492,1.1,0.455,4.010730000000001
2493,1.3,0.455,4.73996
2494,4.3,0.265,6.38259
2495,4.5,0.265,6.67945
2496,4.7,0.265,6.976310000000001
2497,4.9,0.265,7.27318
2498,5.1,0.265,7.57004
2499,5.3,0.265,7.866910000000001
2500,5.5,0.265,8.16377
2501,5.7,0.265,8.46064
2502,5.9,0.265,8.7575
2503,6.1,0.265,9.05437
2504,6.3,0.265,9.351230000000001
2505,6.5,0.265,9.64809
2506,6.7,0.265,9.94496
2507,6.9,0.265,10.2418
2508,7.1,0.265,10.5387
2509,1.3,0.36,2.79873
2510,1.5,0.36,3.2293
2511,1.7,0.36,3.6598800000000002
2512,1.9,0.36,4.09045
2513,10.1,0.36,21.744
2514,10.3,0.36,22.1746
2515,10.5,0.36,22.6051
2516,2.1,0.36,4.5210300000000005
2517,2.3,0.36,4.9516
2518,2.5,0.36,5.3821699999999995
2519,2.7,0.36,5.81275
2520,2.9,0.36,6.24332
2521,3.1,0.36,6.6739
2522,3.3,0.36,7.10447
2523,3.5,0.36,7.5350399999999995
2524,3.7,0.36,7.9656199999999995
2525,3.9,0.36,8.396189999999999
2526,4.1,0.36,8.82677
2527,4.7,0.78,1.0371300000000002e+69
2528,4.9,0.78,1.1690500000000002e+69
2529,5.1,0.78,1.3108100000000002e+69
2530,5.3,0.78,1.4625900000000003e+69
2531,5.5,0.78,1.6249300000000002e+69
2532,5.7,0.78,1.7976300000000004e+69
2533,5.9,0.78,1.9809100000000004e+69
2534,6.1,0.78,2.1752300000000003e+69
2535,6.3,0.78,2.3804000000000003e+69
2536,6.5,0.78,2.5968100000000006e+69
2537,6.7,0.78,2.8245000000000004e+69
2538,6.9,0.78,3.0635500000000004e+69
2539,7.1,0.78,3.3141000000000007e+69
2540,7.3,0.78,3.57663e+69
2541,7.5,0.78,3.850610000000001e+69
2542,2.3,0.735,3.70733e+59
2543,2.5,0.735,4.966330000000001e+59
2544,2.7,0.735,6.494930000000001e+59
2545,2.9,0.735,8.32011e+59
2546,3.1,0.735,1.0469600000000002e+60
2547,3.3,0.735,1.29699e+60
2548,3.5,0.735,1.58463e+60
2549,3.7,0.735,1.9127e+60
2550,3.9,0.735,2.2834300000000003e+60
2551,4.1,0.735,2.69925e+60
2552,4.3,0.735,3.16266e+60
2553,4.5,0.735,3.67572e+60
2554,4.7,0.735,4.24069e+60
2555,4.9,0.735,4.8598600000000004e+60
2556,5.1,0.735,5.534400000000001e+60
2557,2.9,0.76,4.6509600000000007e+64
2558,6.1,0.76,4.532870000000001e+65
2559,9.3,0.76,1.50527e+66
2560,2.5,0.765,2.53576e+65
2561,5.7,0.765,3.1250400000000003e+66
2562,8.9,0.765,1.10617e+67
2563,2.1,0.77,1.2786800000000001e+66
2564,5.3,0.77,2.1174200000000003e+67
2565,8.5,0.77,8.05127e+67
2566,1.7,0.775,5.7779800000000005e+66
2567,4.9,0.775,1.40722e+68
2568,8.1,0.775,5.80164e+68
2569,1.3,0.78,2.21205e+67
2570,4.5,0.78,9.14868e+68
2571,7.7,0.78,4.1365800000000005e+69
2572,0.9,0.785,6.37783e+67
2573,4.1,0.785,5.799820000000001e+69
2574,7.3,0.785,2.9165900000000005e+70
2575,0.5,0.79,1.0025300000000001e+68
2576,3.7,0.79,3.5702500000000006e+70
2577,6.9,0.79,2.0319400000000004e+71
2578,0.1,0.795,1.41106e+67
2579,3.3,0.795,2.1218200000000004e+71
2580,6.5,0.795,1.3978700000000003e+72
2581,0.9,0.08,0.784665
2582,1.1,0.08,0.9590350000000001
2583,1.3,0.08,1.1334
2584,1.5,0.08,1.30777
2585,1.7,0.08,1.48214
2586,1.9,0.08,1.65651
2587,10.1,0.08,8.80568
2588,10.3,0.08,8.98005
2589,10.5,0.08,9.15442
2590,2.1,0.08,1.8308799999999998
2591,2.3,0.08,2.00525
2592,2.5,0.08,2.17962
2593,2.7,0.08,2.35399
2594,2.9,0.08,2.5283599999999997
2595,3.1,0.08,2.70273
2596,3.3,0.08,2.8771
2597,3.5,0.08,3.05147
2598,3.7,0.08,3.2258400000000003
2599,7.3,0.64,6.22762e+42
2600,7.5,0.64,7.102290000000001e+42
2601,7.7,0.64,8.05815e+42
2602,7.9,0.64,9.09861e+42
2603,8.1,0.64,1.0227100000000001e+43
2604,8.3,0.64,1.14475e+43
2605,8.5,0.64,1.2761500000000002e+43
2606,8.7,0.64,1.4173100000000002e+43
2607,8.9,0.64,1.56836e+43
2608,9.1,0.64,1.7298500000000001e+43
2609,9.3,0.64,1.9017300000000001e+43
