,Phi,k,N_equilibrium
192,0.5,0.615,4.81947e+16
193,0.7,0.615,1.72756e+21
194,0.9,0.615,1.74975e+24
195,1.1,0.615,2.48226e+26
196,1.3,0.615,1.04699e+28
197,1.5,0.615,1.97143e+29
198,1.7,0.615,2.10813e+30
199,1.9,0.615,1.49119e+31
200,10.1,0.615,2.54925e+38
201,10.3,0.615,2.81205e+38
202,10.5,0.615,3.0919e+38
203,2.1,0.615,7.72354e+31
204,2.3,0.615,3.14302e+32
205,2.5,0.615,1.0571e+33
206,6.9,0.33,13.0586
207,7.1,0.33,13.4371
208,7.3,0.33,13.8156
209,7.5,0.33,14.1941
210,7.7,0.33,14.5726
211,7.9,0.33,14.9512
212,8.1,0.33,15.3297
213,8.3,0.33,15.7082
214,8.5,0.33,16.0867
215,8.7,0.33,16.4652
216,8.9,0.33,16.8437
217,9.1,0.33,17.2222
218,9.3,0.33,17.6007
219,9.5,0.33,17.9792
220,9.7,0.33,18.3577
221,0.3,0.755,3.09923e+60
222,0.5,0.755,1.61012e+61
223,0.7,0.755,4.88209e+61
224,0.9,0.755,1.1251600000000001e+62
225,1.1,0.755,2.1942600000000002e+62
226,1.3,0.755,3.8246e+62
227,1.5,0.755,6.14928e+62
228,1.7,0.755,9.3041e+62
229,1.9,0.755,1.3424e+63
230,10.1,0.755,2.26755e+65
231,10.3,0.755,2.39213e+65
232,10.5,0.755,2.52033e+65
233,2.1,0.755,1.86443e+63
234,2.3,0.755,2.5100400000000003e+63
235,2.5,0.755,3.29228e+63
236,2.7,0.755,4.22396e+63
237,2.9,0.755,5.3176399999999996e+63
238,3.1,0.755,6.58605e+63
239,9.9,0.235,13.3035
240,0.1,0.24,0.136562
241,0.3,0.24,0.40968699999999997
242,0.5,0.24,0.682812
243,0.7,0.24,0.955937
244,0.9,0.24,1.22906
245,1.1,0.24,1.50219
246,1.3,0.24,1.77531
247,1.5,0.24,2.0484400000000003
248,1.7,0.24,2.32156
249,1.9,0.24,2.59469
250,10.1,0.24,13.7928
251,10.3,0.24,14.0659
252,10.5,0.24,14.3391
253,2.1,0.24,2.86781
254,2.3,0.24,3.14094
255,2.5,0.24,3.4140599999999997
256,2.7,0.24,3.68719
257,6.5,0.05,5.27008
258,6.7,0.05,5.432230000000001
259,6.9,0.05,5.59439
260,7.1,0.05,5.75654
261,7.3,0.05,5.9187
